
 LP OPTIMUM FOUND AT STEP     62

        OBJECTIVE FUNCTION VALUE

        1)      156.0000

  VARIABLE        VALUE          REDUCED COST
       Z11         0.000000         27.000000
       Z12         0.000000          0.000000
       Z13         0.000000          0.000000
       Z14         0.000000         35.000000
       Z15         1.000000          0.000000
       Z16         0.000000         13.000000
       Z17         0.000000         30.000000
       Z21         0.000000         23.000000
       Z22         0.000000          8.000000
       Z23         0.000000         22.000000
       Z24         0.000000          4.000000
       Z25         0.000000         16.000000
       Z26         0.000000          0.000000
       Z27         1.000000          0.000000
       Z31         0.000000         18.000000
       Z32         0.000000         29.000000
       Z33         1.000000          0.000000
       Z34         0.000000         46.000000
       Z35         0.000000         24.000000
       Z36         0.000000         11.000000
       Z37         0.000000         42.000000
       Z41         0.000000         20.000000
       Z42         0.000000         41.000000
       Z43         0.000000         33.000000
       Z44         0.000000         30.000000
       Z45         0.000000         39.000000
       Z46         1.000000          0.000000
       Z47         0.000000         27.000000
       Z51         1.000000          0.000000
       Z52         0.000000         77.000000
       Z53         0.000000         70.000000
       Z54         0.000000          0.000000
       Z55         0.000000         78.000000
       Z56         0.000000          8.000000
       Z57         0.000000         40.000000
       Z61         0.000000         24.000000
       Z62         0.000000          0.000000
       Z63         0.000000         19.000000
       Z64         1.000000          0.000000
       Z65         0.000000         12.000000
       Z66         0.000000          2.000000
       Z67         0.000000          0.000000
       Z71         0.000000         30.000000
       Z72         1.000000          0.000000
       Z73         0.000000         15.000000
       Z74         0.000000         25.000000
       Z75         0.000000          8.000000
       Z76         0.000000         11.000000
       Z77         0.000000         20.000000
        DD        58.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.000000         -3.000000
        3)         0.000000         -4.000000
        4)         0.000000          7.000000
        5)         0.000000         17.000000
        6)         0.000000          0.000000
        7)         0.000000        -10.000000
        8)         0.000000          2.000000
        9)         0.000000        -44.000000
       10)         0.000000        -10.000000
       11)         0.000000        -13.000000
       12)         0.000000        -48.000000
       13)         0.000000         -4.000000
       14)         0.000000        -33.000000
       15)         0.000000        -13.000000
       16)        58.000000          0.000000
       17)        58.000000          0.000000
       18)        58.000000          0.000000
       19)        58.000000          0.000000
       20)        51.000000          0.000000
       21)        58.000000          0.000000
       22)        58.000000          0.000000
       23)        58.000000          0.000000
       24)        58.000000          0.000000
       25)        58.000000          0.000000
       26)        58.000000          0.000000
       27)        58.000000          0.000000
       28)        58.000000          0.000000
       29)        41.000000          0.000000
       30)        58.000000          0.000000
       31)        58.000000          0.000000
       32)        52.000000          0.000000
       33)        58.000000          0.000000
       34)        58.000000          0.000000
       35)        58.000000          0.000000
       36)        58.000000          0.000000
       37)        58.000000          0.000000
       38)        58.000000          0.000000
       39)        58.000000          0.000000
       40)        58.000000          0.000000
       41)        58.000000          0.000000
       42)        42.000000          0.000000
       43)        58.000000          0.000000
       44)        14.000000          0.000000
       45)        58.000000          0.000000
       46)        58.000000          0.000000
       47)        58.000000          0.000000
       48)        58.000000          0.000000
       49)        58.000000          0.000000
       50)        58.000000          0.000000
       51)        58.000000          0.000000
       52)        58.000000          0.000000
       53)        58.000000          0.000000
       54)         0.000000          0.000000
       55)        58.000000          0.000000
       56)        58.000000          0.000000
       57)        58.000000          0.000000
       58)        58.000000          0.000000
       59)        50.000000          0.000000
       60)        58.000000          0.000000
       61)        58.000000          0.000000
       62)        58.000000          0.000000
       63)        58.000000          0.000000
       64)        58.000000          0.000000

 NO. ITERATIONS=      62

