
 LP OPTIMUM FOUND AT STEP     21

        OBJECTIVE FUNCTION VALUE

        1)      32930.00

  VARIABLE        VALUE          REDUCED COST
       A14         0.000000        150.000000
       A24         0.000000        140.000000
       A13        19.000000          0.000000
       A28        15.000000          0.000000
       A34         0.000000        360.000000
       A38         0.000000         70.000000
       A35        13.000000          0.000000
       A58         0.000000        380.000000
       A37         3.000000          0.000000
       A68         0.000000        540.000000
       A78         0.000000        420.000000
       A57         0.000000        200.000000
       A56         0.000000         30.000000
       A67         0.000000        180.000000
       A41         0.000000        150.000000
       A42         0.000000        100.000000
       A31         0.000000        360.000000
       A82         0.000000        400.000000
       A43         9.000000          0.000000
       A83         0.000000        150.000000
       A53         0.000000        460.000000
       A85        11.000000          0.000000
       A73         0.000000        500.000000
       A86         2.000000          0.000000
       A87         0.000000          0.000000
       A75         0.000000        240.000000
       A65         0.000000        190.000000
       A76         0.000000         60.000000
       B14         0.000000        300.000000
       B24         5.000000          0.000000
       B13         1.000000          0.000000
       B28        18.000000          0.000000
       B34         0.000000        510.000000
       B38         0.000000        220.000000
       B35         0.000000        150.000000
       B58         0.000000        380.000000
       B37         3.000000          0.000000
       B68         0.000000        570.000000
       B78         0.000000        570.000000
       B57         0.000000         50.000000
       B56         2.000000          0.000000
       B67         0.000000         60.000000
       B41        13.000000          0.000000
       B42         0.000000        240.000000
       B31         0.000000        360.000000
       B82         0.000000        540.000000
       B43        10.000000          0.000000
       B83         1.000000          0.000000
       B53         0.000000        310.000000
       B85         4.000000          0.000000
       B73         0.000000        500.000000
       B86        20.000000          0.000000
       B87        15.000000          0.000000
       B75         0.000000        390.000000
       B65         0.000000        220.000000
       B76         0.000000        180.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
       A1)         0.000000          0.000000
       A2)         0.000000         20.000000
       A3)         0.000000        180.000000
       A4)         0.000000          0.000000
       A5)         0.000000        410.000000
       A6)         0.000000        490.000000
       A7)         0.000000        430.000000
       A8)         0.000000        220.000000
       B1)         0.000000        270.000000
       B2)         0.000000          0.000000
       B3)         0.000000        450.000000
       B4)         0.000000        120.000000
       B5)         0.000000        530.000000
       B6)         0.000000        640.000000
       B7)         0.000000        700.000000
       B8)         0.000000        340.000000
       18)        25.000000          0.000000
       19)        18.000000          0.000000
       20)         1.000000          0.000000
       21)         5.000000          0.000000
       22)        10.000000          0.000000
       23)         8.000000          0.000000
       24)        13.000000          0.000000
       25)        15.000000          0.000000
       26)        17.000000          0.000000
       27)        24.000000          0.000000
       28)        28.000000          0.000000
       29)        10.000000          0.000000
       30)        12.000000          0.000000
       31)        10.000000          0.000000
       32)        25.000000          0.000000
       33)        18.000000          0.000000
       34)        20.000000          0.000000
       35)        20.000000          0.000000
       36)         1.000000          0.000000
       37)         8.000000          0.000000
       38)        26.000000          0.000000
       39)         4.000000          0.000000
       40)        20.000000          0.000000
       41)        22.000000          0.000000
       42)        28.000000          0.000000
       43)        10.000000          0.000000
       44)        12.000000          0.000000
       45)        10.000000          0.000000
       46)        15.000000          0.000000
       47)         7.000000          0.000000
       48)         9.000000          0.000000
       49)         0.000000        140.000000
       50)        10.000000          0.000000
       51)        13.000000          0.000000
       52)         8.000000          0.000000
       53)         4.000000          0.000000
       54)         2.000000          0.000000
       55)        20.000000          0.000000
       56)        15.000000          0.000000
       57)        20.000000          0.000000
       58)        18.000000          0.000000
       59)        20.000000          0.000000
       60)         2.000000          0.000000
       61)        12.000000          0.000000
       62)        10.000000          0.000000
       63)        18.000000          0.000000
       64)         0.000000        150.000000
       65)        12.000000          0.000000
       66)         8.000000          0.000000
       67)         0.000000          0.000000
       68)         5.000000          0.000000
       69)         0.000000         30.000000
       70)         0.000000        150.000000
       71)        20.000000          0.000000
       72)        20.000000          0.000000
       73)        20.000000          0.000000

 NO. ITERATIONS=      21

