
 LP OPTIMUM FOUND AT STEP      6

        OBJECTIVE FUNCTION VALUE

        1)      412.5208

  VARIABLE        VALUE          REDUCED COST
        P1       142.285721          0.000000
        P2       148.912140          0.000000
        P3       121.322960          0.000000
        X1         0.000000          0.016071
        X2        68.571426          0.000000
        X3       225.714279          0.000000
        X4         0.000000          0.092857
        X5       111.572258          0.000000
        X6       187.075150          0.000000
        X7        82.653183          0.000000
        X8        51.699421          0.000000
        X9       143.968872          0.000000
       X10       150.972763          0.000000
       X11        92.217896          0.000000
       X12         0.000000          0.047082
    BUDGET       433.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.000000         -1.000000
        3)         0.000000         -1.000000
        4)         0.000000         -1.000000
        5)        36.714287          0.000000
        6)         0.000000          0.125000
        7)         0.000000          1.642857
        8)        46.000000          0.000000
        9)       138.714279          0.000000
       10)         7.000000          0.000000
       11)         0.000000          0.156069
       12)         0.000000          0.208092
       13)         0.000000          0.855491
       14)         0.000000          0.084393
       15)         0.000000          0.505837
       16)         0.000000          0.229572
       17)       142.840469          0.000000
       18)         0.000000          0.346303
       19)        45.840466          0.000000
       20)         0.000000          0.084393

 NO. ITERATIONS=       6

