
 LP OPTIMUM FOUND AT STEP      0

        OBJECTIVE FUNCTION VALUE

        1)      101765.2

  VARIABLE        VALUE          REDUCED COST
        X1         3.000000          0.000000
        X2        10.000000          0.000000
        X3         3.000000          0.000000
       X4A         6.000000          0.000000
       X4B        10.000000          0.000000
       X5A         3.000000          0.000000
       X5B         5.000000          0.000000
        X6         2.000000          0.000000
        X7         1.000000          0.000000
        X8         4.000000          0.000000
     COSTI      2584.750000          0.000000
      ALFA         0.500000          0.000000
      BETA         0.500000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    COSTI)         0.000000          1.000000
       AA)       184.000000          0.000000
       BA)       215.000000          0.000000
       CA)        91.000000          0.000000
       DA)         6.000000          0.000000
       EA)        27.000000          0.000000
       FA)        87.000000          0.000000
       GA)       431.000000          0.000000
       AB)       270.000000          0.000000
       BB)       139.000000          0.000000
       CB)       136.000000          0.000000
       DB)        24.000000          0.000000
       EB)       257.000000          0.000000
       FB)       105.000000          0.000000
       GB)      1389.000000          0.000000
     ALFA)         0.000000      -2954.000000
     BETA)         0.000000      -2215.500000
       19)         0.000000       2100.000000
       20)         0.000000       2100.000000
       21)         0.000000       2500.000000
       22)         0.000000       2300.000000
       23)         0.000000       2300.000000
       24)         0.000000       1800.000000
       25)         0.000000       1800.000000
       26)         0.000000       2400.000000
       27)         0.000000       3150.000000
       28)         0.000000       2600.000000

 NO. ITERATIONS=       0

