
 LP OPTIMUM FOUND AT STEP      5

        OBJECTIVE FUNCTION VALUE

        1)      114405.4

  VARIABLE        VALUE          REDUCED COST
        X1         5.314234          0.000000
        X2         0.000000         32.109573
        X3        17.228952          0.000000
       X4A         1.936606          0.000000
       X4B         0.000000        195.195267
       X5A         0.000000         22.564423
       X5B         0.000000        558.273376
        X6         0.000000         22.970196
        X7         5.971223          0.000000
        X8        15.190134          0.000000
     COSTI      2584.750000          0.000000
      ALFA         0.500000          0.000000
      BETA         0.500000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    COSTI)         0.000000          1.000000
       AA)         0.000000          0.861582
       BA)       206.231140          0.000000
       CA)         0.000000         26.616117
       DA)         2.000704          0.000000
       EA)        29.194481          0.000000
       FA)       104.790123          0.000000
       GA)         0.000000          3.983950
       AB)       132.173691          0.000000
       BB)       130.092499          0.000000
       CB)         0.000000         16.135662
       DB)         0.000000         40.416237
       EB)       351.706055          0.000000
       FB)       157.584793          0.000000
       GB)       805.909546          0.000000
     ALFA)         0.000000     114418.937500
     BETA)         0.000000     114391.898438

 NO. ITERATIONS=       5

