
 LP OPTIMUM FOUND AT STEP      0

        OBJECTIVE FUNCTION VALUE

        1)      114418.9

  VARIABLE        VALUE          REDUCED COST
        X1        10.628469          0.000000
        X2         0.000000         32.109573
        X3        34.457905          0.000000
       X4A         3.873212          0.000000
       X4B         0.000000        195.463531
       X5A         0.000000         22.564423
       X5B         0.000000        558.729675
        X6         0.000000         22.807156
        X7         0.000000          0.000000
        X8         0.000000          0.000000
     COSTI      2954.000000          0.000000
      ALFA         1.000000          0.000000
      BETA         0.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    COSTI)         0.000000          1.000000
       AA)         0.000000          0.861582
       BA)       412.462280          0.000000
       CA)         0.000000         26.616117
       DA)         4.001407          0.000000
       EA)        58.388962          0.000000
       FA)       209.580246          0.000000
       GA)         0.000000          3.983950
       AB)         0.000000          0.000000
       BB)         0.000000          0.000000
       CB)         0.000000         16.135506
       DB)         0.000000         40.375568
       EB)         0.000000          0.038439
       FB)         0.000000          0.000000
       GB)         0.000000          0.000000
 ALFABETA)         0.000000     114418.937500

 NO. ITERATIONS=       0

