
 LP OPTIMUM FOUND AT STEP     18

        OBJECTIVE FUNCTION VALUE

        1)      116314.5

  VARIABLE        VALUE          REDUCED COST
        X1         0.000000         99.286331
        X2        20.462807          0.000000
        X3        17.402054          0.000000
       X4A         0.000000        169.449875
       X4B         0.000000        158.449875
       X5A         0.000000        491.273010
       X5B         0.000000        481.273010
        X6         0.000000         73.128021
        X7         4.153306          0.000000
        X8         7.504295          0.000000
     COSTI      2756.565186          0.000000
     ALFAA         0.760795          0.000000
     BETAA         0.239205          0.000000
     ALFAB         0.283420          0.000000
     BETAB         0.716580          0.000000
     ALFAC         0.727109          0.000000
     BETAC         0.272891          0.000000
     ALFAD         0.713448          0.000000
     BETAD         0.286552          0.000000
     ALFAE         0.757297          0.000000
     BETAE         0.242703          0.000000
     ALFAF         0.522274          0.000000
     BETAF         0.477726          0.000000
     ALFAG         0.830878          0.000000
     BETAG         0.169122          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    COSTI)         0.000000          1.000000
       AA)         0.000000          6.725779
       BA)         0.000000          0.050000
       CA)         0.000000         14.320796
       DA)         0.000000         37.488544
       EA)         0.000000          0.050000
       FA)         0.000000          0.050000
       GA)         0.000000          0.147976
       AB)         0.000000          6.675779
       BB)       414.887817          0.000000
       CB)         0.000000         14.270796
       DB)         0.000000         37.438545
       EB)       105.305305          0.000000
       FB)       197.224274          0.000000
       GB)         0.000000          0.097976
    ALFAA)         0.000000      12333.721680
    ALFAB)         0.000000       -117.000000
    ALFAC)         0.000000      52529.363281
    ALFAD)         0.000000      52203.960938
    ALFAE)         0.000000       -330.000000
    ALFAF)         0.000000        -87.000000
    ALFAG)         0.000000       -218.501541

 NO. ITERATIONS=      18

