
 LP OPTIMUM FOUND AT STEP     26

        OBJECTIVE FUNCTION VALUE

        1)      1287.054

  VARIABLE        VALUE          REDUCED COST
    RICAVI      1287.053711          0.000000
     COSTI         0.000000          1.000000
        Y1         0.516140          0.000000
        Y2         8.098628          0.000000
        Z1         0.000000          0.000000
        Z2         0.000000          0.000000
        Z3         0.000000          0.000000
        Z4         0.000000          0.000000
        Z5         0.000000          0.000000
       X1A        23.246996          0.000000
       X1C        27.925468          0.000000
       X2A        12.473055          0.000000
       X2B        48.346458          0.000000
       X3A        41.525417          0.000000
       X3B         0.000000          2.958506
       X4B        28.451443          0.000000
       X4C        23.753302          0.000000
       X5C        33.942928          0.000000
        MA        77.245468          0.000000
        MB        77.132835          0.000000
        MC        85.621696          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
   RICAVI)         0.000000         -1.000000
    COSTI)         0.000000          0.000000
     ASS1)         0.000000          7.693006
     ASS2)         0.000000          5.128670
     ASS3)         0.000000          2.465707
     ASS4)         0.000000          5.545856
     ASS5)         0.000000          5.584401
  PROD_A1)       302.701874          0.000000
  PROD_A2)         0.000000          0.098628
  PROD_AM)         0.000000          0.000000
  PROD_B1)         0.000000          0.025950
  PROD_B2)         0.000000          0.014717
  PROD_BM)         0.334932          0.000000
  PROD_C1)         0.000000          0.017090
  PROD_C2)         0.000000          0.061742
  PROD_CM)         0.000000          0.000000
    MANOD)         0.000000          0.000000
       19)         0.000000          7.693006
       20)         0.000000          5.128670
       21)         0.000000          2.465707
       22)         0.000000          5.545856
       23)         0.000000          5.584401

 NO. ITERATIONS=      26

