
 LP OPTIMUM FOUND AT STEP     11

        OBJECTIVE FUNCTION VALUE

        1)      4710.909

  VARIABLE        VALUE          REDUCED COST
       X11         0.000000          0.575000
       X21         0.000000          0.812500
       X31      3600.000000          0.000000
       X41         0.000000          0.731250
       X12         0.000000          0.500000
       X22         0.000000          0.650000
       X32       781.818176          0.000000
       X42      4196.363770          0.000000
       X13         0.000000          0.463636
       X23         0.000000          0.327273
       X33      2618.181885          0.000000
       X43         0.000000          0.477273
       X14       800.000000          0.000000
       X24      1200.000000          0.000000
       X34         0.000000          0.050000
       X44         0.000000          0.750000
       X15         0.000000          0.000000
       X25         0.000000          0.200000
       X35         0.000000          0.300000
       X45      1003.636353          0.000000
     COSTI      4710.909180          0.000000
     TEMPI    107425.453125          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
     MET1)         0.000000         -0.200000
     MET2)         0.000000         -0.400000
     MET3)         0.000000         -0.700000
     ME41)         0.000000         -0.750000
     MAC1)         0.000000          0.068750
     MAC2)         0.000000          0.050000
     MAC3)         0.000000          0.045455
     MAC4)     14800.000000          0.000000
     MAC5)     21774.544922          0.000000
    COSTI)         0.000000          0.000000
    TEMPI)         0.000000          0.000000

 NO. ITERATIONS=      11

