
 LP OPTIMUM FOUND AT STEP      7

        OBJECTIVE FUNCTION VALUE

        1)      95600.00

  VARIABLE        VALUE          REDUCED COST
       X11       800.000000          0.000000
       X21         0.000000          2.500000
       X31      3200.000000          0.000000
       X41         0.000000          3.750000
       X12         0.000000          1.000000
       X22         0.000000          1.000000
       X32       600.000000          0.000000
       X42       640.000000          0.000000
       X13         0.000000          3.000000
       X23      1200.000000          0.000000
       X33         0.000000          1.000000
       X43      4560.000000          0.000000
       X14         0.000000          6.111111
       X24         0.000000          0.555556
       X34      3200.000000          0.000000
       X44         0.000000          1.666667
       X15         0.000000          7.000000
       X25         0.000000          2.000000
       X35         0.000000          0.000000
       X45         0.000000          2.000000
     COSTI      8880.000000          0.000000
     TEMPI     95600.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
     MET1)         0.000000         -5.000000
     MET2)         0.000000         -5.000000
     MET3)         0.000000        -10.000000
     ME41)         0.000000         -5.000000
     MAC1)         0.000000          0.250000
     MAC2)     19600.000000          0.000000
     MAC3)         0.000000          0.000000
     MAC4)         0.000000          0.111111
     MAC5)     28800.000000          0.000000
    COSTI)         0.000000          0.000000
    TEMPI)         0.000000          0.000000

 NO. ITERATIONS=       7

