
 LP OPTIMUM FOUND AT STEP      0

        OBJECTIVE FUNCTION VALUE

        1)      99142.00

  VARIABLE        VALUE          REDUCED COST
       X11       800.000000          0.000000
       X21         0.000000          4.016763
       X31      3200.000000          0.000000
       X41         0.000000          5.063384
       X12         0.000000          0.535568
       X22         0.000000          2.383656
       X32       280.000000          0.000000
       X42      5200.000000          0.000000
       X13         0.000000          1.395495
       X23         0.000000          0.301729
       X33      1931.000488          0.000000
       X43         0.000000          1.093766
       X14         0.000000          2.753274
       X24      1200.000000          0.000000
       X34      1588.999512          0.000000
       X44         0.000000          3.432163
       X15         0.000000          4.412782
       X25         0.000000          2.262965
       X35         0.000000          1.584075
       X45         0.000000          1.998952
     COSTI      5593.949707          0.000000
     TEMPI     99142.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
     MET1)         0.000000         -6.147721
     MET2)         0.000000         -5.355684
     MET3)         0.000000         -9.730749
     ME41)         0.000000         -6.072289
     MAC1)         0.000000          0.330016
     MAC2)         0.000000          0.082975
     MAC3)      7558.994141          0.000000
     MAC4)      8499.004883          0.000000
     MAC5)     28800.000000          0.000000
    COSTI)         0.000000          3.017287
    TEMPI)         0.000000         -0.170246
 STANDARD)         0.000000          0.000026

 NO. ITERATIONS=       0

