
 LP OPTIMUM FOUND AT STEP      0

        OBJECTIVE FUNCTION VALUE

        1)      102175.3

  VARIABLE        VALUE          REDUCED COST
       X11       498.368439          0.000000
       X21         0.000000          6.572676
       X31      3350.815674          0.000000
       X41         0.000000          7.060604
       X12         0.000000          0.177950
       X22         0.000000          4.569301
       X32       280.000000          0.000000
       X42      5200.000000          0.000000
       X13         0.000000          0.777554
       X23         0.000000          1.583809
       X33      2618.181885          0.000000
       X43         0.000000          2.717524
       X14       301.631561          0.000000
       X24      1200.000000          0.000000
       X34       751.002380          0.000000
       X44         0.000000          5.611171
       X15         0.000000          1.377679
       X25         0.000000          2.640551
       X35         0.000000          2.267430
       X45         0.000000          1.564239
     COSTI      5035.020996          0.000000
     TEMPI    102175.335938          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
     MET1)         0.000000         -8.151266
     MET2)         0.000000         -5.969941
     MET3)         0.000000        -10.935326
     ME41)         0.000000         -7.993407
     MAC1)         0.000000          0.559682
     MAC2)         0.000000          0.278406
     MAC3)         0.000000          0.190475
     MAC4)     13024.663086          0.000000
     MAC5)     28800.000000          0.000000
    COSTI)         0.000000          6.314361
    TEMPI)         0.000000         -0.311161
 STANDARD)         0.000000          0.000066

 NO. ITERATIONS=       0

