
 LP OPTIMUM FOUND AT STEP     22

        OBJECTIVE FUNCTION VALUE

        1)      5446500.

  VARIABLE        VALUE          REDUCED COST
      X101      1800.000000          0.000000
      X201       500.000000          0.000000
      X102      1700.000000          0.000000
      X202       400.000000          0.000000
      X103      1800.000000          0.000000
      X203       500.000000          0.000000
      X104      2500.000000          0.000000
      X204       700.000000          0.000000
      X105      2450.000000          0.000000
      X205      1000.000000          0.000000
      X106      2550.000000          0.000000
      X206      1000.000000          0.000000
      X107      2300.000000          0.000000
      X207       900.000000          0.000000
      X108      1200.000000          0.000000
      X208       400.000000          0.000000
      X109      2000.000000          0.000000
      X209       800.000000          0.000000
      X110      1800.000000          0.000000
      X210       900.000000          0.000000
      X111      1900.000000          0.000000
      X211      1000.000000          0.000000
      X112      1800.000000          0.000000
      X212       700.000000          0.000000
      S101         0.000000         30.000000
      S201         0.000000         40.000000
      S102         0.000000         45.000000
      S202         0.000000         60.000000
      S103         0.000000         30.000000
      S203         0.000000         40.000000
      S104       700.000000          0.000000
      S204       100.000000          0.000000
      S105      1250.000000          0.000000
      S205       400.000000          0.000000
      S106      1500.000000          0.000000
      S206       600.000000          0.000000
      S107      1300.000000          0.000000
      S207       600.000000          0.000000
      S108         0.000000         90.000000
      S208         0.000000         80.000000
      S109         0.000000          5.000000
      S209         0.000000          5.000000
      S110         0.000000         10.000000
      S210       100.000000          0.000000
      S111       200.000000          0.000000
      S211       300.000000          0.000000
      S112         0.000000        235.000000
      S212         0.000000        335.000000
         Q      2100.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
  MAX1GEN)       600.000000          0.000000
  MAX1FEB)       600.000000          0.000000
  MAX1MAR)       700.000000          0.000000
  MAX1APR)         0.000000          0.000000
  MAX1MAG)         0.000000         45.000000
  MAX1GIU)         0.000000         75.000000
  MAX1LUG)         0.000000        105.000000
  MAX1AGO)         0.000000         45.000000
  MAX1SET)       200.000000          0.000000
  MAX1OTT)       700.000000          0.000000
  MAX1NOV)       600.000000          0.000000
  MAX1DIC)         0.000000         20.000000
  MAX2GEN)       500.000000          0.000000
  MAX2FEB)       500.000000          0.000000
  MAX2MAR)       500.000000          0.000000
  MAX2APR)       300.000000          0.000000
  MAX2MAG)         0.000000         30.000000
  MAX2GIU)         0.000000         55.000000
  MAX2LUG)         0.000000         70.000000
  MAX2AGO)         0.000000         55.000000
  MAX2SET)       200.000000          0.000000
  MAX2OTT)       100.000000          0.000000
  MAX2NOV)         0.000000         20.000000
  MAX2DIC)         0.000000         45.000000
 DOM1_GEN)         0.000000       -125.000000
 DOM1_FEB)         0.000000       -140.000000
 DOM1_MAR)         0.000000       -140.000000
 DOM1_APR)         0.000000       -150.000000
 DOM1_MAG)         0.000000       -175.000000
 DOM1_GIU)         0.000000       -195.000000
 DOM1_LUG)         0.000000       -205.000000
 DOM1_AGO)         0.000000       -215.000000
 DOM1_SET)         0.000000       -135.000000
 DOM1_OTT)         0.000000       -145.000000
 DOM1_NOV)         0.000000       -160.000000
 DOM1_DIC)         0.000000       -195.000000
 DOM2_GEN)         0.000000       -240.000000
 DOM2_FEB)         0.000000       -245.000000
 DOM2_MAR)         0.000000       -230.000000
 DOM2_APR)         0.000000       -230.000000
 DOM2_MAG)         0.000000       -255.000000
 DOM2_GIU)         0.000000       -275.000000
 DOM2_LUG)         0.000000       -285.000000
 DOM2_AGO)         0.000000       -295.000000
 DOM2_SET)         0.000000       -225.000000
 DOM2_OTT)         0.000000       -235.000000
 DOM2_NOV)         0.000000       -260.000000
 DOM2_DIC)         0.000000       -295.000000
  MAG_GEN)      2100.000000          0.000000
  MAG_FEB)      2100.000000          0.000000
  MAG_MAR)      2100.000000          0.000000
  MAG_APR)      1300.000000          0.000000
  MAG_MAG)       450.000000          0.000000
  MAG_GIU)         0.000000          0.000000
  MAG_LUG)       200.000000          0.000000
  MAG_AGO)      2100.000000          0.000000
  MAG_SET)      2100.000000          0.000000
  MAG_OTT)      2000.000000          0.000000
  MAG_NOV)      1600.000000          0.000000
  MAG_DIC)      2100.000000          0.000000
   MAGAZZ)       400.000000          0.000000

 NO. ITERATIONS=      22


 RIGHTHANDSIDE PARAMETRICS REPORT FOR ROW: MAGAZZ

    VAR       VAR    PIVOT    RHS       DUAL PRICE      OBJ
    OUT       IN      ROW     VAL      BEFORE PIVOT     VAL

                            2500.00      0.000000E+00  0.544650E+07
 SLK   62  ART         62   2100.00      0.000000E+00  0.544650E+07
                           0.000000E+00   +INFINITY   INFEASIBLE

