


 LP OPTIMUM FOUND AT STEP      1

        OBJECTIVE FUNCTION VALUE

        1)     0.2112000E+08

  VARIABLE        VALUE          REDUCED COST
        Y1   1140000.000000          0.000000
        Y2   1125000.000000          0.000000
        Y3    950000.000000          0.000000
        Y4    800000.000000          0.000000
        Y5   1190000.000000          0.000000
        X1        95.000000          0.000000
        X2       125.000000          0.000000
        X3        95.000000          0.000000
        X4       100.000000          0.000000
        X5        85.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    RESA1)         0.000000          4.500000
    RESA2)         0.000000          5.000000
    RESA3)         0.000000          4.000000
    RESA4)         0.000000          3.000000
    RESA5)         0.000000          3.500000
    MINQ1)    990000.000000          0.000000
    MINQ2)    925000.000000          0.000000
    MINQ3)    850000.000000          0.000000
    MINQ4)    650000.000000          0.000000
    MINQ5)   1090000.000000          0.000000
    MAXQ1)    360000.000000          0.000000
    MAXQ2)     75000.000000          0.000000
    MAXQ3)         0.000000          0.000000
    MAXQ4)         0.000000          0.000000
    MAXQ5)    310000.000000          0.000000
   TOTALE)         0.000000      54000.000000
  RAPPS12)       280.000000          0.000000
  RAPPS13)       190.000000          0.000000
  RAPPS14)       205.000000          0.000000
  RAPPS15)       160.000000          0.000000
  RAPPS21)       160.000000          0.000000
  RAPPS23)       160.000000          0.000000
  RAPPS24)       175.000000          0.000000
  RAPPS25)       130.000000          0.000000
  RAPPS31)       190.000000          0.000000
  RAPPS32)       280.000000          0.000000
  RAPPS34)       205.000000          0.000000
  RAPPS35)       160.000000          0.000000
  RAPPS41)       185.000000          0.000000
  RAPPS42)       275.000000          0.000000
  RAPPS43)       185.000000          0.000000
  RAPPS45)       155.000000          0.000000
  RAPPS51)       200.000000          0.000000
  RAPPS52)       290.000000          0.000000
  RAPPS53)       200.000000          0.000000
  RAPPS54)       215.000000          0.000000
  RAPPQ12)   3360000.000000          0.000000
  RAPPQ13)   2660000.000000          0.000000
  RAPPQ14)   2060000.000000          0.000000
  RAPPQ15)   3620000.000000          0.000000
  RAPPQ21)   3435000.000000          0.000000
  RAPPQ23)   2675000.000000          0.000000
  RAPPQ24)   2075000.000000          0.000000
  RAPPQ25)   3635000.000000          0.000000
  RAPPQ31)   3610000.000000          0.000000
  RAPPQ32)   3550000.000000          0.000000
  RAPPQ34)   2250000.000000          0.000000
  RAPPQ35)   3810000.000000          0.000000
  RAPPQ41)   3760000.000000          0.000000
  RAPPQ42)   3700000.000000          0.000000
  RAPPQ43)   3000000.000000          0.000000
  RAPPQ45)   3960000.000000          0.000000
  RAPPQ51)   3370000.000000          0.000000
  RAPPQ52)   3310000.000000          0.000000
  RAPPQ53)   2610000.000000          0.000000
  RAPPQ54)   2010000.000000          0.000000
       58)         0.000000          0.000000
       59)         0.000000      -9000.000000
       60)         0.000000     -14000.000000
       61)         0.000000     -30000.000000
       62)         0.000000      -5000.000000

 NO. ITERATIONS=       1

