
 LP OPTIMUM FOUND AT STEP      8

        OBJECTIVE FUNCTION VALUE

        1)     0.2274857E+08

  VARIABLE        VALUE          REDUCED COST
        Y1   1500000.000000          0.000000
        Y2   1200000.000000          0.000000
        Y3    950000.000000          0.000000
        Y4    316190.468750          0.000000
        Y5   1500000.000000          0.000000
        X1       125.000000          0.000000
        X2       133.333328          0.000000
        X3        95.000000          0.000000
        X4        39.523811          0.000000
        X5       107.142860          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    RESA1)         0.000000          2.000000
    RESA2)         0.000000          2.666667
    RESA3)         0.000000          2.400000
    RESA4)         0.000000          3.000000
    RESA5)         0.000000          1.714286
    MINQ1)   1350000.000000          0.000000
    MINQ2)   1000000.000000          0.000000
    MINQ3)    850000.000000          0.000000
    MINQ4)    166190.468750          0.000000
    MINQ5)   1400000.000000          0.000000
    MAXQ1)         0.000000          2.500000
    MAXQ2)         0.000000          2.333333
    MAXQ3)         0.000000          1.600000
    MAXQ4)    483809.531250          0.000000
    MAXQ5)         0.000000          1.785714
   TOTALE)         0.000000      24000.000000

 NO. ITERATIONS=       8

