 Rows=     13 Vars=     20 No. integer vars=      0
 Nonlinear rows=      1 Nonlinear vars=     12 Nonlinear constraints=      0
 Nonzeros=    125 Constraint nonz=   101 Density=0.458
 No. < :   0 No. =:  12 No. > :   0, Obj=MIN Single cols=    0
 Optimal solution found at step:        23
 Objective value:                 5.306612


                       Variable           Value        Reduced Cost
                     DURATA( 1)        1.000000           0.0000000
                     DURATA( 2)        2.000000           0.0000000
                     DURATA( 3)        1.000000           0.0000000
                     DURATA( 4)        1.500000           0.0000000
                     DURATA( 5)       0.5000000           0.0000000
                     DURATA( 6)        1.000000           0.0000000
                     DURATA( 7)        1.000000           0.0000000
                     DURATA( 8)        2.000000           0.0000000
                     DURATA( 9)        1.200000           0.0000000
                    DURATA( 10)        2.500000           0.0000000
                    DURATA( 11)       0.2000000           0.0000000
                    DURATA( 12)       0.5000000           0.0000000
                     ERRORE( 1)      -0.9001779           0.0000000
                     ERRORE( 2)      -0.3057885E-02       0.0000000
                     ERRORE( 3)      -0.5553629           0.0000000
                     ERRORE( 4)        1.731037           0.0000000
                     ERRORE( 5)      -0.6579719           0.0000000
                     ERRORE( 6)      -0.2742619           0.0000000
                     ERRORE( 7)      -0.1666070           0.0000000
                     ERRORE( 8)       0.1670764E-01       0.0000000
                     ERRORE( 9)       0.5279397           0.0000000
                    ERRORE( 10)      -0.2162092           0.0000000
                    ERRORE( 11)       0.5558706           0.0000000
                    ERRORE( 12)      -0.1439542           0.0000000
                      CALSP( 1)        5.081594          -0.2793968E-07
                      CALSP( 2)        5.943963          -0.2421439E-06
                      CALSP( 3)        1.890056          -0.6221235E-07
                      CALSP( 4)       0.4491325          -0.2998859E-06
                      CALSP( 5)        2.285777          -0.2466142E-06
                      CALSP( 6)        8.744014          -0.2488494E-06
                      CALSP( 7)        2.473875          -0.1225621E-06
                      CALSP( 8)       0.2675915          -0.7636845E-07
                  DELTAT( 1, 1)       0.2000000           0.0000000
                  DELTAT( 1, 2)       0.4000000           0.0000000
                  DELTAT( 1, 3)       0.5000000           0.0000000
                  DELTAT( 1, 4)       0.6000000           0.0000000
                  DELTAT( 1, 5)       0.6000000           0.0000000
                  DELTAT( 1, 6)       0.5000000           0.0000000
                  DELTAT( 1, 7)       0.2000000           0.0000000
                  DELTAT( 1, 8)       0.2000000           0.0000000
                  DELTAT( 2, 1)       0.1000000           0.0000000
                  DELTAT( 2, 2)        1.000000           0.0000000
                  DELTAT( 2, 3)       0.1000000           0.0000000
                  DELTAT( 2, 4)        1.200000           0.0000000
                  DELTAT( 2, 5)        1.100000           0.0000000
                  DELTAT( 2, 6)        1.000000           0.0000000
                  DELTAT( 2, 7)       0.6000000           0.0000000
                  DELTAT( 2, 8)       0.3000000           0.0000000
                  DELTAT( 3, 1)       0.1000000           0.0000000
                  DELTAT( 3, 2)       0.5000000           0.0000000
                  DELTAT( 3, 3)       0.5000000           0.0000000
                  DELTAT( 3, 4)       0.7000000           0.0000000
                  DELTAT( 3, 5)       0.5000000           0.0000000
                  DELTAT( 3, 6)       0.5000000           0.0000000
                  DELTAT( 3, 7)       0.1000000           0.0000000
                  DELTAT( 3, 8)       0.2000000           0.0000000
                  DELTAT( 4, 1)       0.2000000           0.0000000
                  DELTAT( 4, 2)       0.6000000           0.0000000
                  DELTAT( 4, 3)       0.6000000           0.0000000
                  DELTAT( 4, 4)       0.8000000           0.0000000
                  DELTAT( 4, 5)       0.6000000           0.0000000
                  DELTAT( 4, 6)       0.6000000           0.0000000
                  DELTAT( 4, 7)       0.2000000           0.0000000
                  DELTAT( 4, 8)       0.3000000           0.0000000
                  DELTAT( 5, 1)       0.1000000           0.0000000
                  DELTAT( 5, 2)       0.4000000           0.0000000
                  DELTAT( 5, 3)       0.2000000           0.0000000
                  DELTAT( 5, 4)       0.3000000           0.0000000
                  DELTAT( 5, 5)       0.2000000           0.0000000
                  DELTAT( 5, 6)       0.2000000           0.0000000
                  DELTAT( 5, 7)       0.0000000           0.0000000
                  DELTAT( 5, 8)       0.2000000           0.0000000
                  DELTAT( 6, 1)       0.2000000           0.0000000
                  DELTAT( 6, 2)       0.5000000           0.0000000
                  DELTAT( 6, 3)       0.4000000           0.0000000
                  DELTAT( 6, 4)       0.7000000           0.0000000
                  DELTAT( 6, 5)       0.5000000           0.0000000
                  DELTAT( 6, 6)       0.4000000           0.0000000
                  DELTAT( 6, 7)       0.2000000           0.0000000
                  DELTAT( 6, 8)       0.3000000           0.0000000
                  DELTAT( 7, 1)       0.3000000           0.0000000
                  DELTAT( 7, 2)       0.4000000           0.0000000
                  DELTAT( 7, 3)       0.5000000           0.0000000
                  DELTAT( 7, 4)       0.8000000           0.0000000
                  DELTAT( 7, 5)       0.4000000           0.0000000
                  DELTAT( 7, 6)       0.4000000           0.0000000
                  DELTAT( 7, 7)       0.2000000           0.0000000
                  DELTAT( 7, 8)       0.2000000           0.0000000
                  DELTAT( 8, 1)       0.6000000           0.0000000
                  DELTAT( 8, 2)       0.8000000           0.0000000
                  DELTAT( 8, 3)        1.000000           0.0000000
                  DELTAT( 8, 4)        1.500000           0.0000000
                  DELTAT( 8, 5)        1.300000           0.0000000
                  DELTAT( 8, 6)       0.6000000           0.0000000
                  DELTAT( 8, 7)       0.5000000           0.0000000
                  DELTAT( 8, 8)       0.6000000           0.0000000
                  DELTAT( 9, 1)       0.3000000           0.0000000
                  DELTAT( 9, 2)       0.4000000           0.0000000
                  DELTAT( 9, 3)       0.5000000           0.0000000
                  DELTAT( 9, 4)       0.7000000           0.0000000
                  DELTAT( 9, 5)       0.5000000           0.0000000
                  DELTAT( 9, 6)       0.5000000           0.0000000
                  DELTAT( 9, 7)       0.3000000           0.0000000
                  DELTAT( 9, 8)       0.2000000           0.0000000
                 DELTAT( 10, 1)       0.5000000           0.0000000
                 DELTAT( 10, 2)       0.9000000           0.0000000
                 DELTAT( 10, 3)        1.100000           0.0000000
                 DELTAT( 10, 4)        1.300000           0.0000000
                 DELTAT( 10, 5)       0.9000000           0.0000000
                 DELTAT( 10, 6)        1.200000           0.0000000
                 DELTAT( 10, 7)       0.8000000           0.0000000
                 DELTAT( 10, 8)       0.5000000           0.0000000
                 DELTAT( 11, 1)       0.0000000           0.0000000
                 DELTAT( 11, 2)       0.2000000           0.0000000
                 DELTAT( 11, 3)       0.0000000           0.0000000
                 DELTAT( 11, 4)       0.0000000           0.0000000
                 DELTAT( 11, 5)       0.1000000           0.0000000
                 DELTAT( 11, 6)       0.0000000           0.0000000
                 DELTAT( 11, 7)       0.0000000           0.0000000
                 DELTAT( 11, 8)       0.1000000           0.0000000
                 DELTAT( 12, 1)       0.0000000           0.0000000
                 DELTAT( 12, 2)       0.5000000           0.0000000
                 DELTAT( 12, 3)       0.2000000           0.0000000
                 DELTAT( 12, 4)       0.3000000           0.0000000
                 DELTAT( 12, 5)       0.2000000           0.0000000
                 DELTAT( 12, 6)       0.1000000           0.0000000
                 DELTAT( 12, 7)       0.1000000           0.0000000
                 DELTAT( 12, 8)       0.3000000           0.0000000

                            Row    Slack or Surplus      Dual Price
                              1        5.306612            1.000000
                              2       0.0000000            1.800356
                              3       0.0000000           0.6115641E-02
                              4       0.0000000            1.110726
                              5       0.0000000           -3.462074
                              6       0.0000000            1.315944
