Le ampolle sono 8. Gli studenti sono 12.
La quantità di calore per unità di tempo erogata dal fornelletto 
è di 10 calorie al minuto.
La tabella di seguito riporta i dati relativi ai 12 esperimenti.

Durata   Aumento di temperatura per ogni ampolla
(min.)            (gradi centigradi)

 1.0        0.2 0.4 0.5 0.6 0.6 0.5 0.2 0.2
 2.0        0.1 1.0 0.1 1.2 1.1 1.0 0.6 0.3
 1.0        0.1 0.5 0.5 0.7 0.5 0.5 0.1 0.2
 1.5        0.2 0.6 0.6 0.8 0.6 0.6 0.2 0.3
 0.5        0.1 0.4 0.2 0.3 0.2 0.2 0.0 0.2
 1.0        0.2 0.5 0.4 0.7 0.5 0.4 0.2 0.3
 1.0        0.3 0.4 0.5 0.8 0.4 0.4 0.2 0.2
 2.0        0.6 0.8 1.0 1.5 1.3 0.6 0.5 0.6
 1.2        0.3 0.4 0.5 0.7 0.5 0.5 0.3 0.2
 2.5        0.5 0.9 1.1 1.3 0.9 1.2 0.8 0.5
 0.2        0.0 0.2 0.0 0.0 0.1 0.0 0.0 0.1
 0.5        0.0 0.5 0.2 0.3 0.2 0.1 0.1 0.3
