
 LP OPTIMUM FOUND AT STEP      9

        OBJECTIVE FUNCTION VALUE

        1)      215.5167

  VARIABLE        VALUE          REDUCED COST
      X111         3.000000          0.000000
      X112         0.000000          2.220000
      X113         5.000000          0.000000
      X121         0.000000          0.700000
      X122         0.000000          2.920000
      X123         0.000000          0.200000
      X131         0.000000          1.600000
      X132         0.000000          3.820000
      X133         0.000000          0.750000
      X141         0.000000          2.100000
      X142         0.000000          4.320000
      X143         0.000000          1.250000
      X151         0.000000          2.200000
      X152         0.000000          3.320000
      X153         0.000000          2.200000
      X161         0.000000          2.600000
      X162         0.000000          4.420000
      X163         0.000000          2.850000
      X171         0.000000          3.100000
      X172         0.000000          4.820000
      X173         0.000000          3.400000
      X181         0.000000          4.100000
      X182         0.000000          5.000000
      X183         0.000000          4.400000
      X211         0.000000          0.700000
      X212         0.000000          0.700000
      X213         0.000000          1.550000
      X221        10.000000          0.000000
      X222         0.000000          0.000000
      X223         0.000000          0.350000
      X231         1.000000          0.000000
      X232         1.000000          0.000000
      X233         6.000000          0.000000
      X241         0.000000          1.000000
      X242         0.000000          1.000000
      X243         0.000000          1.000000
      X251         0.000000          3.900000
      X252         0.000000          2.800000
      X253         0.000000          4.750000
      X261         0.000000          5.500000
      X262         0.000000          5.100000
      X263         0.000000          6.600000
      X271         0.000000          6.000000
      X272         0.000000          5.500000
      X273         0.000000          7.150000
      X281         0.000000          7.600000
      X282         0.000000          6.280000
      X283         0.000000          8.750000
      X311         6.000000          0.000000
      X312         5.000000          0.000000
      X313         0.000000          2.100000
      X321         0.000000          0.600000
      X322         0.000000          0.600000
      X323         0.000000          2.200000
      X331         7.000000          0.000000
      X332         1.000000          0.000000
      X333         0.000000          1.250000
      X341        10.000000          0.000000
      X342         0.000000          0.000000
      X343         0.000000          1.250000
      X351         0.000000          1.100000
      X352         3.000000          0.000000
      X353         0.000000          3.200000
      X361         0.000000          0.400000
      X362         0.000000          0.000000
      X363         0.000000          2.750000
      X371         0.000000          0.500000
      X372         0.000000          0.000000
      X373         0.000000          2.900000
      X381         0.000000          2.000000
      X382         0.000000          0.680000
      X383         0.000000          4.400000
      X411         0.000000          0.600000
      X412         0.000000          1.366667
      X413         0.000000          0.350000
      X421         0.000000          0.966667
      X422         0.000000          1.733334
      X423         0.000000          0.216667
      X431         0.000000          1.100000
      X432         0.000000          1.866667
      X433         5.000000          0.000000
      X441         0.000000          1.100000
      X442         0.000000          1.866667
      X443         5.000000          0.000000
      X451         0.000000          0.333333
      X452         5.000000          0.000000
      X453         0.000000          0.083333
      X461        12.000000          0.000000
      X462         0.000000          0.366667
      X463         2.000000          0.000000
      X471         0.000000          0.766667
      X472         0.000000          1.033334
      X473         0.000000          0.816667
      X481         0.000000          2.100000
      X482         0.000000          1.546667
      X483         0.000000          2.150000
      X511         0.000000          0.400000
      X512         0.000000          1.220000
      X513         0.000000          0.150000
      X521         0.000000          0.900000
      X522         0.000000          1.720000
      X523         0.000000          0.150000
      X531         0.000000          1.250000
      X532         0.000000          2.120000
      X533         0.000000          0.150000
      X541         0.000000          1.400000
      X542         0.000000          2.240000
      X543         0.000000          0.300000
      X551         0.000000          0.250000
      X552         0.000000          0.000000
      X553         3.000000          0.000000
      X561         1.000000          0.000000
      X562         0.000000          0.500000
      X563        16.000000          0.000000
      X571        18.000000          0.000000
      X572         0.000000          0.420000
      X573         0.000000          0.050000
      X581         0.000000          0.500000
      X582         2.000000          0.000000
