
 LP OPTIMUM FOUND AT STEP     41

        OBJECTIVE FUNCTION VALUE

        1)      1046832.

  VARIABLE        VALUE          REDUCED COST
      COST   1046831.625000          0.000000
       X11       212.869049          0.000000
       X12       161.877380          0.000000
       X13       251.239594          0.000000
       X14         0.000000         27.890718
       X15       224.013992          0.000000
       X16         0.000000         83.672157
       X21       287.130951          0.000000
       X22       200.991669          0.000000
       X23       102.661926          0.000000
       X24       287.130951          0.000000
       X25       223.324081          0.000000
       X26       148.760406          0.000000
       X31         0.000000         37.187622
       X32       287.130951          0.000000
       X33         7.727942          0.000000
       X34       251.239594          0.000000
       X35       102.661926          0.000000
       X36       251.239594          0.000000
      TIME       100.495834          0.000000
       ETA         0.837465          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
     COST)         0.000000          0.929691
   TIME11)        57.922028          0.000000
   TIME12)        43.838753          0.000000
   TIME13)         0.000000        116.211327
   TIME14)       100.495834          0.000000
   TIME15)        44.492336          0.000000
   TIME16)       100.495834          0.000000
   TIME21)         0.000000        185.938126
   TIME22)         0.000000         55.781437
   TIME23)        54.297970          0.000000
   TIME24)         0.000000        159.375534
   TIME25)         0.000000         72.309265
   TIME26)        40.991669          0.000000
   TIME31)       100.495834          0.000000
   TIME32)         0.000000         26.562588
   TIME33)        97.018257          0.000000
   TIME34)         0.000000         46.484531
   TIME35)        69.697258          0.000000
   TIME36)         0.000000         69.726791
       O1)         0.000000       -325.391724
       O2)         0.000000       -418.360779
       O3)         0.000000       -390.470062
       D1)         0.000000         92.969063
       D2)         0.000000          0.000000
       D3)       188.370544          0.000000
       D4)        11.629456          0.000000
       D5)         0.000000         37.187622
       D6)         0.000000         92.969063
     TIME)        99.504166          0.000000
  STAND_T)         0.000000       -732.389587
  STAND_C)         0.000000          0.070309

 NO. ITERATIONS=      41

