
        OBJECTIVE FUNCTION VALUE

        1)      2800.000

  VARIABLE        VALUE          REDUCED COST
        V1         1.000000        400.000000
        V2         0.000000        200.000000
        V3         0.000000          0.000000
        V4         0.000000       -200.000000
        V5         0.000000       -400.000000
        V6         0.000000       -600.000000
        V8         1.000000        400.000000
        V9         0.000000        200.000000
       V10         0.000000          0.000000
       V11         0.000000       -200.000000
       V12         0.000000       -400.000000
       V13         0.000000       -600.000000
       V15         1.000000        400.000000
       V16         0.000000        200.000000
       V17         0.000000          0.000000
       V18         0.000000       -200.000000
       V19         0.000000       -400.000000
       V20         0.000000       -600.000000
       V22         1.000000        400.000000
       V23         0.000000        200.000000
       V24         0.000000          0.000000
       V25         0.000000       -200.000000
       V26         0.000000       -400.000000
       V27         0.000000       -600.000000
        Z1         0.000000        140.000000
        Z2         5.000000          0.000000
        Z3         4.000000          0.000000
        Z4         3.000000          0.000000
        Z5         2.000000          0.000000
        Z6         1.000000          0.000000
        Z8         0.000000        140.000000
        Z9         5.000000          0.000000
       Z10         4.000000          0.000000
       Z11         3.000000          0.000000
       Z12         2.000000          0.000000
       Z13         1.000000          0.000000
       Z15         0.000000        140.000000
       Z16         5.000000          0.000000
       Z17         4.000000          0.000000
       Z18         3.000000          0.000000
       Z19         2.000000          0.000000
       Z20         1.000000          0.000000
       Z22         0.000000        140.000000
       Z23         5.000000          0.000000
       Z24         4.000000          0.000000
       Z25         3.000000          0.000000
       Z26         2.000000          0.000000
       Z27         1.000000          0.000000
       Q27         0.000000          0.000000
        Q1         6.000000          0.000000
        Q2         0.000000          0.000000
        Q3         0.000000          0.000000
        Q4         0.000000          0.000000
        Q5         0.000000          0.000000
        Q6         0.000000          0.000000
        Q8         6.000000          0.000000
        Q9         0.000000          0.000000
       Q10         0.000000          0.000000
       Q11         0.000000          0.000000
       Q12         0.000000          0.000000
       Q13         0.000000          0.000000
       Q15         6.000000          0.000000
       Q16         0.000000          0.000000
       Q17         0.000000          0.000000
       Q18         0.000000          0.000000
       Q19         0.000000          0.000000
       Q20         0.000000          0.000000
       Q22         6.000000          0.000000
       Q23         0.000000          0.000000
       Q24         0.000000          0.000000
       Q25         0.000000          0.000000
       Q26         0.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.000000        100.000000
        3)         0.000000          0.000000
        4)         0.000000         20.000000
        5)         0.000000         40.000000
        6)         0.000000         60.000000
        7)         0.000000         80.000000
        8)         0.000000        100.000000
        9)         0.000000          0.000000
       10)         0.000000         20.000000
       11)         0.000000         40.000000
       12)         0.000000         60.000000
       13)         0.000000         80.000000
       14)         0.000000        100.000000
       15)         0.000000          0.000000
       16)         0.000000         20.000000
       17)         0.000000         40.000000
       18)         0.000000         60.000000
       19)         0.000000         80.000000
       20)         0.000000        100.000000
       21)         0.000000          0.000000
       22)         0.000000         20.000000
       23)         0.000000         40.000000
       24)         0.000000         60.000000
       25)         0.000000         80.000000
       26)         4.000000          0.000000
       27)         0.000000         20.000000
       28)         0.000000         40.000000
       29)         0.000000         60.000000
       30)         0.000000         80.000000
       31)         0.000000        100.000000
       32)         4.000000          0.000000
       33)         0.000000         20.000000
       34)         0.000000         40.000000
       35)         0.000000         60.000000
       36)         0.000000         80.000000
       37)         0.000000        100.000000
       38)         4.000000          0.000000
       39)         0.000000         20.000000
       40)         0.000000         40.000000
       41)         0.000000         60.000000
       42)         0.000000         80.000000
       43)         0.000000        100.000000
       44)         4.000000          0.000000
       45)         0.000000         20.000000
       46)         0.000000         40.000000
       47)         0.000000         60.000000
       48)         0.000000         80.000000
       49)         0.000000        100.000000

 NO. ITERATIONS=   66449
 BRANCHES=11349 DETERM.=  1.000E    0
