
 LP OPTIMUM FOUND AT STEP     26
 OBJECTIVE VALUE =   14900.0000


 NEW INTEGER SOLUTION OF    17000.0000     AT BRANCH      0 PIVOT      26
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

        1)      17000.00

  VARIABLE        VALUE          REDUCED COST
       X11         1.000000       1200.000000
       X12         0.000000       4500.000000
       X13         0.000000       1800.000000
       X14         0.000000       2700.000000
       X15         0.000000       1900.000000
       X16         0.000000       1800.000000
       X21         0.000000       5700.000000
       X22         0.000000       5100.000000
       X23         1.000000       2700.000000
       X24         0.000000       4200.000000
       X25         0.000000       5100.000000
       X26         0.000000       4200.000000
       X31         1.000000       1100.000000
       X32         0.000000       1000.000000
       X33         0.000000       1500.000000
       X34         0.000000       3400.000000
       X35         0.000000       2300.000000
       X36         0.000000       1000.000000
       X41         0.000000       7400.000000
       X42         0.000000       7800.000000
       X43         1.000000       6200.000000
       X44         0.000000       5600.000000
       X45         0.000000       5800.000000
       X46         0.000000       4200.000000
       X51         0.000000       3000.000000
       X52         0.000000       6800.000000
       X53         1.000000       2200.000000
       X54         0.000000       4000.000000
       X55         0.000000       5600.000000
       X56         0.000000       3000.000000
       X61         1.000000       3600.000000
       X62         0.000000       9000.000000
       X63         0.000000       6000.000000
       X64         0.000000       5400.000000
       X65         0.000000       8100.000000
       X66         0.000000       7200.000000
        Y1         1.000000          0.000000
        Y2         0.000000          0.000000
        Y3         1.000000          0.000000
        Y4         0.000000          0.000000
        Y5         0.000000          0.000000
        Y6         0.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
     ASS1)         0.000000          0.000000
     ASS2)         0.000000          0.000000
     ASS3)         0.000000          0.000000
     ASS4)         0.000000          0.000000
     ASS5)         0.000000          0.000000
     ASS6)         0.000000          0.000000
     CAP1)       150.000000          0.000000
     CAP2)         0.000000          0.000000
     CAP3)         0.000000          0.000000
     CAP4)         0.000000          0.000000
     CAP5)         0.000000          0.000000
     CAP6)         0.000000          0.000000
 NUM_CONC)         0.000000          0.000000

 NO. ITERATIONS=      26
 BRANCHES=    0 DETERM.=  1.000E    0
