
 LP OPTIMUM FOUND AT STEP     31

        OBJECTIVE FUNCTION VALUE

        1)      202.0000

  VARIABLE        VALUE          REDUCED COST
        X1         0.000000         46.333332
        X2         1.000000          0.000000
        X3         0.000000          0.000000
        X4         0.000000          0.000000
        X5         0.000000          0.000000
        X6         0.000000          4.500000
        X7         1.000000          0.000000
        X8         1.000000          0.000000
        X9         0.500000          0.000000
       X10         0.500000          0.000000
       X11         0.000000         30.000000
       X12         0.500000          0.000000
       X13         1.000000          0.000000
       X14         0.000000          0.000000
       X15         0.000000          0.000000
       X16         0.000000          4.166667
       X17         0.500000          0.000000
       X18         0.000000          0.000000
       X19         0.000000          0.000000
       X20         0.500000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.500000          0.000000
        3)         0.500000          0.000000
        4)         0.000000        -14.833333
        5)         0.000000         -1.666667
        6)         1.000000          0.000000
        7)         0.000000         -6.000000
        8)         0.000000         -8.000000
        9)         0.000000         -3.333333
       10)         0.000000         -5.000000
       11)         0.000000        -18.666666
       12)         0.000000        -12.333333
       13)         0.000000         -6.666667
       14)         1.500000          0.000000
       15)         2.000000          0.000000
       16)         0.000000         -7.166667
       17)         0.000000          0.000000
       18)         1.000000          0.000000
       19)         0.500000          0.000000
       20)         0.000000         -8.333333
       21)         0.000000          0.000000
       22)         0.000000        -37.666668
       23)         0.000000        -13.333333
       24)         0.500000          0.000000
       25)         0.000000          0.000000
       26)         0.000000        -30.000000
       27)         0.500000          0.000000
       28)         0.000000         -8.166667
       29)         0.500000          0.000000
       30)         0.000000        -20.833334
       31)         0.500000          0.000000

 NO. ITERATIONS=      31

