
 LP OPTIMUM FOUND AT STEP     10

        OBJECTIVE FUNCTION VALUE

        1)      30.00000

  VARIABLE        VALUE          REDUCED COST
    FLUSSO        30.000000          0.000000
       XS1        11.000000          0.000000
       XS2         0.000000          0.000000
       XS3        19.000000          0.000000
       X13         0.000000          0.000000
       X14        11.000000          0.000000
       X23         0.000000          0.000000
       X25         0.000000          0.000000
       X36        19.000000          0.000000
       X54         0.000000          0.000000
       X45         3.000000          0.000000
       X47         8.000000          0.000000
       X58         3.000000          0.000000
       X67         2.000000          0.000000
       X68         7.000000          0.000000
       X6T        10.000000          0.000000
       X7T        10.000000          0.000000
       X8T        10.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
   NODO_S)         0.000000          0.000000
   NODO_1)         0.000000          0.000000
   NODO_2)         0.000000          0.000000
   NODO_3)         0.000000          0.000000
   NODO_4)         0.000000          0.000000
   NODO_5)         0.000000          0.000000
   NODO_6)         0.000000          0.000000
   NODO_7)         0.000000          0.000000
   NODO_8)         0.000000          0.000000
   NODO_T)         0.000000         -1.000000
  ARCO_S1)         4.000000          0.000000
  ARCO_S2)        15.000000          0.000000
  ARCO_S3)         1.000000          0.000000
  ARCO_13)        15.000000          0.000000
  ARCO_14)        17.000000          0.000000
  ARCO_23)        20.000000          0.000000
  ARCO_25)        18.000000          0.000000
  ARCO_36)         1.000000          0.000000
  ARCO_45)         6.000000          0.000000
  ARCO_47)         0.000000          0.000000
  ARCO_54)         9.000000          0.000000
  ARCO_58)         5.000000          0.000000
  ARCO_67)         5.000000          0.000000
  ARCO_68)         0.000000          0.000000
  ARCO_6T)         0.000000          1.000000
  ARCO_7T)         0.000000          1.000000
  ARCO_8T)         0.000000          1.000000

 NO. ITERATIONS=      10

