 Global optimal solution found at step:           756
 Objective value:                            8.000000
 Branch count:                                     40

                       Variable           Value        Reduced Cost
                              C        4.000000           0.0000000
                           TMAX        8.000000           0.0000000
                          Y( 1)        1.000000           0.0000000
                          Y( 2)       0.0000000           0.0000000
                          Y( 3)        1.000000           0.0000000
                          Y( 4)       0.0000000           0.0000000
                          Y( 5)        1.000000           0.0000000
                          Y( 6)        1.000000           0.0000000
                       T( 1, 1)        4.000000           0.0000000
                       T( 1, 2)        20.00000           0.0000000
                       T( 1, 3)        20.00000           0.0000000
                       T( 1, 4)        20.00000           0.0000000
                       T( 1, 5)        40.00000           0.0000000
                       T( 1, 6)        40.00000           0.0000000
                       T( 2, 1)        20.00000           0.0000000
                       T( 2, 2)        5.000000           0.0000000
                       T( 2, 3)        5.000000           0.0000000
                       T( 2, 4)        8.000000           0.0000000
                       T( 2, 5)        15.00000           0.0000000
                       T( 2, 6)        15.00000           0.0000000
                       T( 3, 1)        20.00000           0.0000000
                       T( 3, 2)        10.00000           0.0000000
                       T( 3, 3)        8.000000           0.0000000
                       T( 3, 4)        5.000000           0.0000000
                       T( 3, 5)        12.00000           0.0000000
                       T( 3, 6)        20.00000           0.0000000
                       T( 4, 1)        35.00000           0.0000000
                       T( 4, 2)        20.00000           0.0000000
                       T( 4, 3)        20.00000           0.0000000
                       T( 4, 4)        25.00000           0.0000000
                       T( 4, 5)        10.00000           0.0000000
                       T( 4, 6)        8.000000           0.0000000
                       T( 5, 1)        40.00000           0.0000000
                       T( 5, 2)        20.00000           0.0000000
                       T( 5, 3)        20.00000           0.0000000
                       T( 5, 4)        25.00000           0.0000000
                       T( 5, 5)        12.00000           0.0000000
                       T( 5, 6)        2.000000           0.0000000
                       X( 1, 1)        1.000000           0.0000000
                       X( 1, 2)       0.0000000           0.0000000
                       X( 1, 3)       0.0000000           0.0000000
                       X( 1, 4)       0.0000000           0.0000000
                       X( 1, 5)       0.0000000           0.0000000
                       X( 1, 6)       0.0000000           0.0000000
                       X( 2, 1)       0.0000000           0.0000000
                       X( 2, 2)       0.0000000           0.0000000
                       X( 2, 3)        1.000000           0.0000000
                       X( 2, 4)       0.0000000           0.0000000
                       X( 2, 5)       0.0000000           0.0000000
                       X( 2, 6)       0.0000000           0.0000000
                       X( 3, 1)       0.0000000           0.0000000
                       X( 3, 2)       0.0000000           0.0000000
                       X( 3, 3)        1.000000            8.000000
                       X( 3, 4)       0.0000000           0.0000000
                       X( 3, 5)       0.0000000           0.0000000
                       X( 3, 6)       0.0000000           0.0000000
                       X( 4, 1)       0.0000000           0.0000000
                       X( 4, 2)       0.0000000           0.0000000
                       X( 4, 3)       0.0000000           0.0000000
                       X( 4, 4)       0.0000000           0.0000000
                       X( 4, 5)       0.0000000           0.0000000
                       X( 4, 6)        1.000000           0.0000000
                       X( 5, 1)       0.0000000           0.0000000
                       X( 5, 2)       0.0000000           0.0000000
                       X( 5, 3)       0.0000000           0.0000000
                       X( 5, 4)       0.0000000           0.0000000
                       X( 5, 5)       0.0000000           0.0000000
                       X( 5, 6)        1.000000           0.0000000

                            Row    Slack or Surplus      Dual Price
                              1        8.000000            1.000000
                              2        4.000000           0.0000000
                              3        8.000000           0.0000000
                              4        8.000000           0.0000000
                              5        8.000000           0.0000000
                              6        8.000000           0.0000000
                              7        8.000000           0.0000000
                              8        8.000000           0.0000000
                              9        8.000000           0.0000000
                             10        3.000000           0.0000000
                             11        8.000000           0.0000000
                             12        8.000000           0.0000000
                             13        8.000000           0.0000000
                             14        8.000000           0.0000000
                             15        8.000000           0.0000000
                             16       0.0000000           -1.000000
                             17        8.000000           0.0000000
                             18        8.000000           0.0000000
                             19        8.000000           0.0000000
                             20        8.000000           0.0000000
                             21        8.000000           0.0000000
                             22        8.000000           0.0000000
                             23        8.000000           0.0000000
                             24        8.000000           0.0000000
                             25       0.0000000           0.0000000
                             26        8.000000           0.0000000
                             27        8.000000           0.0000000
                             28        8.000000           0.0000000
                             29        8.000000           0.0000000
                             30        8.000000           0.0000000
                             31        6.000000           0.0000000
                             32       0.0000000           0.0000000
                             33       0.0000000           0.0000000
                             34       0.0000000           0.0000000
                             35       0.0000000           0.0000000
                             36       0.0000000           0.0000000
                             37       0.0000000           0.0000000
                             38       0.0000000           0.0000000
                             39        1.000000           0.0000000
                             40       0.0000000           0.0000000
                             41        1.000000           0.0000000
                             42        1.000000           0.0000000
                             43        1.000000           0.0000000
                             44       0.0000000           0.0000000
                             45       0.0000000           0.0000000
                             46       0.0000000           0.0000000
                             47        1.000000           0.0000000
                             48        1.000000           0.0000000
                             49        1.000000           0.0000000
                             50       0.0000000           0.0000000
                             51       0.0000000           0.0000000
                             52       0.0000000           0.0000000
                             53        1.000000           0.0000000
                             54        1.000000           0.0000000
                             55        1.000000           0.0000000
                             56       0.0000000           0.0000000
                             57        1.000000           0.0000000
                             58       0.0000000           0.0000000
                             59        1.000000           0.0000000
                             60       0.0000000           0.0000000
                             61        1.000000           0.0000000
                             62       0.0000000           0.0000000
                             63        1.000000           0.0000000
                             64       0.0000000           0.0000000
                             65        1.000000           0.0000000
                             66       0.0000000           0.0000000
                             67       0.0000000           0.0000000

