 Global optimal solution found at step:          1235
 Objective value:                            10.00000
 Branch count:                                     49

                       Variable           Value        Reduced Cost
                              C        4.000000           0.0000000
                              Q        20.00000           0.0000000
                           TMAX        10.00000           0.0000000
                          P( 1)        12.00000           0.0000000
                          P( 2)        8.000000           0.0000000
                          P( 3)        8.000000           0.0000000
                          P( 4)        15.00000           0.0000000
                          P( 5)        12.00000           0.0000000
                          Y( 1)        1.000000           0.0000000
                          Y( 2)       0.0000000           0.0000000
                          Y( 3)        1.000000           0.0000000
                          Y( 4)       0.0000000           0.0000000
                          Y( 5)        1.000000           0.0000000
                          Y( 6)        1.000000           0.0000000
                       T( 1, 1)        4.000000           0.0000000
                       T( 1, 2)        20.00000           0.0000000
                       T( 1, 3)        20.00000           0.0000000
                       T( 1, 4)        20.00000           0.0000000
                       T( 1, 5)        40.00000           0.0000000
                       T( 1, 6)        40.00000           0.0000000
                       T( 2, 1)        20.00000           0.0000000
                       T( 2, 2)        5.000000           0.0000000
                       T( 2, 3)        5.000000           0.0000000
                       T( 2, 4)        8.000000           0.0000000
                       T( 2, 5)        15.00000           0.0000000
                       T( 2, 6)        15.00000           0.0000000
                       T( 3, 1)        20.00000           0.0000000
                       T( 3, 2)        10.00000           0.0000000
                       T( 3, 3)        8.000000           0.0000000
                       T( 3, 4)        5.000000           0.0000000
                       T( 3, 5)        12.00000           0.0000000
                       T( 3, 6)        20.00000           0.0000000
                       T( 4, 1)        35.00000           0.0000000
                       T( 4, 2)        20.00000           0.0000000
                       T( 4, 3)        20.00000           0.0000000
                       T( 4, 4)        25.00000           0.0000000
                       T( 4, 5)        10.00000           0.0000000
                       T( 4, 6)        8.000000           0.0000000
                       T( 5, 1)        40.00000           0.0000000
                       T( 5, 2)        20.00000           0.0000000
                       T( 5, 3)        20.00000           0.0000000
                       T( 5, 4)        25.00000           0.0000000
                       T( 5, 5)        12.00000           0.0000000
                       T( 5, 6)        2.000000           0.0000000
                       X( 1, 1)        1.000000           0.0000000
                       X( 1, 2)       0.0000000           0.0000000
                       X( 1, 3)       0.0000000           0.0000000
                       X( 1, 4)       0.0000000           0.0000000
                       X( 1, 5)       0.0000000           0.0000000
                       X( 1, 6)       0.0000000           0.0000000
                       X( 2, 1)       0.0000000           0.0000000
                       X( 2, 2)       0.0000000           0.0000000
                       X( 2, 3)        1.000000           0.0000000
                       X( 2, 4)       0.0000000           0.0000000
                       X( 2, 5)       0.0000000           0.0000000
                       X( 2, 6)       0.0000000           0.0000000
                       X( 3, 1)       0.0000000           0.0000000
                       X( 3, 2)       0.0000000           0.0000000
                       X( 3, 3)        1.000000           0.0000000
                       X( 3, 4)       0.0000000           0.0000000
                       X( 3, 5)       0.0000000           0.0000000
                       X( 3, 6)       0.0000000           0.0000000
                       X( 4, 1)       0.0000000           0.0000000
                       X( 4, 2)       0.0000000           0.0000000
                       X( 4, 3)       0.0000000           0.0000000
                       X( 4, 4)       0.0000000           0.0000000
                       X( 4, 5)        1.000000            10.00000
                       X( 4, 6)       0.0000000           0.0000000
                       X( 5, 1)       0.0000000           0.0000000
                       X( 5, 2)       0.0000000           0.0000000
                       X( 5, 3)       0.0000000           0.0000000
                       X( 5, 4)       0.0000000           0.0000000
                       X( 5, 5)       0.0000000           0.0000000
                       X( 5, 6)        1.000000           0.0000000

                            Row    Slack or Surplus      Dual Price
                              1        10.00000            1.000000
                              2        6.000000           0.0000000
                              3        10.00000           0.0000000
                              4        10.00000           0.0000000
                              5        10.00000           0.0000000
                              6        10.00000           0.0000000
                              7        10.00000           0.0000000
                              8        10.00000           0.0000000
                              9        10.00000           0.0000000
                             10        5.000000           0.0000000
                             11        10.00000           0.0000000
                             12        10.00000           0.0000000
                             13        10.00000           0.0000000
                             14        10.00000           0.0000000
                             15        10.00000           0.0000000
                             16        2.000000           0.0000000
                             17        10.00000           0.0000000
                             18        10.00000           0.0000000
                             19        10.00000           0.0000000
                             20        10.00000           0.0000000
                             21        10.00000           0.0000000
                             22        10.00000           0.0000000
                             23        10.00000           0.0000000
                             24       0.0000000           -1.000000
                             25        10.00000           0.0000000
                             26        10.00000           0.0000000
                             27        10.00000           0.0000000
                             28        10.00000           0.0000000
                             29        10.00000           0.0000000
                             30        10.00000           0.0000000
                             31        8.000000           0.0000000
                             32       0.0000000           0.0000000
                             33       0.0000000           0.0000000
                             34       0.0000000           0.0000000
                             35       0.0000000           0.0000000
                             36       0.0000000           0.0000000
                             37       0.0000000           0.0000000
                             38       0.0000000           0.0000000
                             39        1.000000           0.0000000
                             40       0.0000000           0.0000000
                             41        1.000000           0.0000000
                             42        1.000000           0.0000000
                             43        1.000000           0.0000000
                             44       0.0000000           0.0000000
                             45       0.0000000           0.0000000
                             46       0.0000000           0.0000000
                             47        1.000000           0.0000000
                             48        1.000000           0.0000000
                             49        1.000000           0.0000000
                             50       0.0000000           0.0000000
                             51       0.0000000           0.0000000
                             52       0.0000000           0.0000000
                             53        1.000000           0.0000000
                             54        1.000000           0.0000000
                             55        1.000000           0.0000000
                             56       0.0000000           0.0000000
                             57        1.000000           0.0000000
                             58       0.0000000           0.0000000
                             59       0.0000000           0.0000000
                             60        1.000000           0.0000000
                             61        1.000000           0.0000000
                             62       0.0000000           0.0000000
                             63        1.000000           0.0000000
                             64       0.0000000           0.0000000
                             65        1.000000           0.0000000
                             66       0.0000000           0.0000000
                             67       0.0000000           0.0000000
                             68        8.000000           0.0000000
                             69        20.00000           0.0000000
                             70        4.000000           0.0000000
                             71        20.00000           0.0000000
                             72        5.000000           0.0000000
                             73        8.000000           0.0000000

