 Global optimal solution found at step:            21
 Objective value:                            24.00000
 Branch count:                                      0

                       Variable           Value        Reduced Cost
                              C        4.000000           0.0000000
                          Y( 1)        1.000000           0.0000000
                          Y( 2)       0.0000000           0.0000000
                          Y( 3)        1.000000           0.0000000
                          Y( 4)        1.000000           0.0000000
                          Y( 5)       0.0000000           0.0000000
                          Y( 6)        1.000000           0.0000000
                       T( 1, 1)        4.000000           0.0000000
                       T( 1, 2)        20.00000           0.0000000
                       T( 1, 3)        20.00000           0.0000000
                       T( 1, 4)        20.00000           0.0000000
                       T( 1, 5)        40.00000           0.0000000
                       T( 1, 6)        40.00000           0.0000000
                       T( 2, 1)        20.00000           0.0000000
                       T( 2, 2)        5.000000           0.0000000
                       T( 2, 3)        5.000000           0.0000000
                       T( 2, 4)        8.000000           0.0000000
                       T( 2, 5)        15.00000           0.0000000
                       T( 2, 6)        15.00000           0.0000000
                       T( 3, 1)        20.00000           0.0000000
                       T( 3, 2)        10.00000           0.0000000
                       T( 3, 3)        8.000000           0.0000000
                       T( 3, 4)        5.000000           0.0000000
                       T( 3, 5)        12.00000           0.0000000
                       T( 3, 6)        20.00000           0.0000000
                       T( 4, 1)        35.00000           0.0000000
                       T( 4, 2)        20.00000           0.0000000
                       T( 4, 3)        20.00000           0.0000000
                       T( 4, 4)        25.00000           0.0000000
                       T( 4, 5)        10.00000           0.0000000
                       T( 4, 6)        8.000000           0.0000000
                       T( 5, 1)        40.00000           0.0000000
                       T( 5, 2)        20.00000           0.0000000
                       T( 5, 3)        20.00000           0.0000000
                       T( 5, 4)        25.00000           0.0000000
                       T( 5, 5)        12.00000           0.0000000
                       T( 5, 6)        2.000000           0.0000000
                       X( 1, 1)        1.000000            4.000000
                       X( 1, 2)       0.0000000            20.00000
                       X( 1, 3)       0.0000000            20.00000
                       X( 1, 4)       0.0000000            20.00000
                       X( 1, 5)       0.0000000            40.00000
                       X( 1, 6)       0.0000000            40.00000
                       X( 2, 1)       0.0000000            20.00000
                       X( 2, 2)       0.0000000            5.000000
                       X( 2, 3)        1.000000            5.000000
                       X( 2, 4)       0.0000000            8.000000
                       X( 2, 5)       0.0000000            15.00000
                       X( 2, 6)       0.0000000            15.00000
                       X( 3, 1)       0.0000000            20.00000
                       X( 3, 2)       0.0000000            10.00000
                       X( 3, 3)       0.0000000            8.000000
                       X( 3, 4)        1.000000            5.000000
                       X( 3, 5)       0.0000000            12.00000
                       X( 3, 6)       0.0000000            20.00000
                       X( 4, 1)       0.0000000            35.00000
                       X( 4, 2)       0.0000000            20.00000
                       X( 4, 3)       0.0000000            20.00000
                       X( 4, 4)       0.0000000            25.00000
                       X( 4, 5)       0.0000000            10.00000
                       X( 4, 6)        1.000000            8.000000
                       X( 5, 1)       0.0000000            40.00000
                       X( 5, 2)       0.0000000            20.00000
                       X( 5, 3)       0.0000000            20.00000
                       X( 5, 4)       0.0000000            25.00000
                       X( 5, 5)       0.0000000            12.00000
                       X( 5, 6)        1.000000            2.000000

                            Row    Slack or Surplus      Dual Price
                              1        24.00000            1.000000
                              2       0.0000000           0.0000000
                              3       0.0000000           0.0000000
                              4       0.0000000           0.0000000
                              5       0.0000000           0.0000000
                              6       0.0000000           0.0000000
                              7       0.0000000           0.0000000
                              8       0.0000000           0.0000000
                              9        1.000000           0.0000000
                             10        1.000000           0.0000000
                             11       0.0000000           0.0000000
                             12        1.000000           0.0000000
                             13        1.000000           0.0000000
                             14       0.0000000           0.0000000
                             15       0.0000000           0.0000000
                             16        1.000000           0.0000000
                             17       0.0000000           0.0000000
                             18        1.000000           0.0000000
                             19        1.000000           0.0000000
                             20       0.0000000           0.0000000
                             21        1.000000           0.0000000
                             22       0.0000000           0.0000000
                             23       0.0000000           0.0000000
                             24        1.000000           0.0000000
                             25        1.000000           0.0000000
                             26       0.0000000           0.0000000
                             27        1.000000           0.0000000
                             28        1.000000           0.0000000
                             29       0.0000000           0.0000000
                             30       0.0000000           0.0000000
                             31        1.000000           0.0000000
                             32       0.0000000           0.0000000
                             33        1.000000           0.0000000
                             34        1.000000           0.0000000
                             35       0.0000000           0.0000000
                             36       0.0000000           0.0000000
                             37       0.0000000           0.0000000

