
        OBJECTIVE FUNCTION VALUE

        1)      6.000000

  VARIABLE        VALUE          REDUCED COST

      X1_5         4.000000          0.000000
      X1_6         2.000000          0.000000
      X1_7        62.000000          0.000000
      X2_1         2.000000          0.000000
      X2_6        85.000000          0.000000
      X2_7         3.000000          0.000000
      X3_1         8.000000          0.000000
      X3_4         2.000000          0.000000
      X4_1         4.000000          0.000000
      X4_4        39.000000          0.000000
      X4_5         4.000000          0.000000
      X4_7         1.000000          0.000000
      X5_4         5.000000          0.000000
      X5_6        10.000000          0.000000
      X5_7        13.000000          0.000000
      X6_1        19.000000          0.000000
      X6_2        20.000000          0.000000
      X6_5        29.000000          0.000000
      X6_7         2.000000          0.000000
      X7_6        56.000000          0.000000
      X8_1         1.000000          0.000000
      X8_2         8.000000          0.000000
      X8_5         1.000000          0.000000
      X9_4        43.000000          0.000000
      X9_5         2.000000          0.000000
     X10_1         1.000000          0.000000
     X10_6        11.000000          0.000000

        Y1         1.000000          1.000000
        Y2         1.000000          1.000000
        Y4         1.000000          1.000000
        Y5         1.000000          1.000000
        Y6         1.000000          1.000000
        Y7         1.000000          1.000000
 

       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)        23.000000          0.000000
        3)         0.000000          0.000000
        4)         0.000000          0.000000
        5)       193.000000          0.000000
        6)        12.000000          0.000000
        7)        20.000000          0.000000
        8)      1360.000000          0.000000
        9)         0.000000          0.000000

 NO. ITERATIONS=     459
 BRANCHES=   74 DETERM.=  1.000E    0
