
        OBJECTIVE FUNCTION VALUE

        1)      102250.0

  VARIABLE        VALUE          REDUCED COST
      Y12A         0.000000       2500.000000
      Y12B         0.000000       4000.000000
      Y12C         0.000000       7000.000000
      Y12D         1.000000      10000.000000
      Y13A         0.000000       3750.000000
      Y13B         0.000000       6000.000000
      Y13C         0.000000      10500.000000
      Y13D         1.000000      15000.000000
      Y14A         1.000000       5000.000000
      Y14B         0.000000       8000.000000
      Y14C         0.000000      14000.000000
      Y14D         0.000000      20000.000000
      Y25A         0.000000       3750.000000
      Y25B         1.000000       6000.000000
      Y25C         0.000000      10500.000000
      Y25D         0.000000      15000.000000
      Y26A         0.000000       5000.000000
      Y26B         0.000000       8000.000000
      Y26C         1.000000      14000.000000
      Y26D         0.000000      20000.000000
      Y35A         0.000000       2500.000000
      Y35B         0.000000       4000.000000
      Y35C         0.000000       7000.000000
      Y35D         1.000000      10000.000000
      Y36A         0.000000       3750.000000
      Y36B         1.000000       6000.000000
      Y36C         0.000000      10500.000000
      Y36D         0.000000      15000.000000
      Y45A         1.000000       3750.000000
      Y45B         0.000000       6000.000000
      Y45C         0.000000      10500.000000
      Y45D         0.000000      15000.000000
      Y46A         1.000000       2500.000000
      Y46B         0.000000       4000.000000
      Y46C         0.000000       7000.000000
      Y46D         0.000000      10000.000000
      Y57A         0.000000       5000.000000
      Y57B         0.000000       8000.000000
      Y57C         0.000000      14000.000000
      Y57D         1.000000      20000.000000
      Y67A         0.000000       2500.000000
      Y67B         0.000000       4000.000000
      Y67C         0.000000       7000.000000
      Y67D         1.000000      10000.000000
       X12        48.000000          0.000000
       X13        64.000000          0.000000
       X14         8.000000          0.000000
       X25        16.000000          0.000000
       X26        32.000000          0.000000
       X35        48.000000          0.000000
       X36        16.000000          0.000000
       X45         0.000000          0.000000
       X46         8.000000          0.000000
       X57        64.000000          0.000000
       X67        56.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
    CAP12)        16.000000          0.000000
    CAP13)         0.000000          0.000000
    CAP14)         0.000000          0.000000
    CAP25)         0.000000          0.000000
    CAP26)         0.000000          0.000000
    CAP35)        16.000000          0.000000
    CAP36)         0.000000          0.000000
    CAP45)         8.000000          0.000000
    CAP46)         0.000000          0.000000
    CAP57)         0.000000          0.000000
    CAP67)         8.000000          0.000000
    FLOW1)         0.000000          0.000000
    FLOW2)         0.000000          0.000000
    FLOW3)         0.000000          0.000000
    FLOW4)         0.000000          0.000000
    FLOW5)         0.000000          0.000000
    FLOW6)         0.000000          0.000000
    ASS12)         0.000000          0.000000
    ASS13)         0.000000          0.000000
    ASS14)         0.000000          0.000000
    ASS25)         0.000000          0.000000
    ASS26)         0.000000          0.000000
    ASS35)         0.000000          0.000000
    ASS36)         0.000000          0.000000
    ASS45)         0.000000          0.000000
    ASS46)         0.000000          0.000000
    ASS57)         0.000000          0.000000
    ASS67)         0.000000          0.000000

 NO. ITERATIONS=    1521
 BRANCHES=   93 DETERM.=  1.000E    0
