
 LP OPTIMUM FOUND AT STEP     17

        OBJECTIVE FUNCTION VALUE

        1)      20.65441

  VARIABLE        VALUE          REDUCED COST
       X01         0.000000          0.849607
       X02         0.000000          0.769812
       X03         0.000000          0.665121
       X04         0.000000          0.523630
       X05         0.000000          0.342685
       X06         2.762106          0.000000
       X07         1.273684          0.000000
       X08         0.000000          0.220919
       X09         0.000000          0.426460
       X10         0.000000          0.343486
       X11         1.420286          0.000000
       X12         4.023373          0.000000
       X13         2.694388          0.000000
       X14         0.000000          0.325421
       X15         0.000000          0.441465
       X16         0.000000          0.510166
       X17         0.000000          0.334100
       X18         1.352722          0.000000
       X19         4.354242          0.000000
       X20         1.468361          0.000000
       X21         1.305253          0.000000
       X22         0.000000          0.283322
       X23         0.000000          0.653563
       X24         0.000000          0.896080


       ROW   SLACK OR SURPLUS     DUAL PRICES
 FASCIA01)         4.836833          0.000000
 FASCIA02)         6.020046          0.000000
 FASCIA03)         4.916043          0.000000
 FASCIA04)         3.224675          0.000000
 FASCIA05)         2.099255          0.000000
 FASCIA06)         5.263831          0.000000
 FASCIA07)         6.604730          0.000000
 FASCIA08)         0.000000         -0.171057
 FASCIA09)         0.000000         -0.061307
 FASCIA10)         3.432211          0.000000
 FASCIA11)         4.417376          0.000000
 FASCIA12)        11.841179          0.000000
 FASCIA13)         0.000000         -0.162172
 FASCIA14)         0.000000         -0.016591
 FASCIA15)         0.000000         -0.135636
 FASCIA16)         2.303304          0.000000
 FASCIA17)         7.703292          0.000000
 FASCIA18)         6.946167          0.000000
 FASCIA19)        13.810421          0.000000
 FASCIA20)         0.000000         -0.145901
 FASCIA21)         0.000000         -0.004911
 FASCIA22)         0.000000         -0.073746
 FASCIA23)         0.000000         -0.188572
 FASCIA24)         3.771118          0.000000

 NO. ITERATIONS=      17

