
 LP OPTIMUM FOUND AT STEP     30
 OBJECTIVE VALUE =   163150.391

 FIX ALL VARS.(    2)  WITH RC >   21903.5
 SET      Y_2 TO >=     1 AT    1, BND= -0.1707E+06 TWIN=-0.1668E+06     73

 NEW INTEGER SOLUTION OF    170733.875     AT BRANCH      1 PIVOT      73
 BOUND ON OPTIMUM:  166753.8
 FLIP      Y_2 TO <=         0 AT    1 WITH BND=   -166753.75

 NEW INTEGER SOLUTION OF    166753.750     AT BRANCH      1 PIVOT      73
 BOUND ON OPTIMUM:  166753.8
 DELETE      Y_2 AT LEVEL     1
 ENUMERATION COMPLETE. BRANCHES=     1 PIVOTS=      73

 LAST INTEGER SOLUTION IS THE BEST FOUND
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

        1)      166753.8

  VARIABLE        VALUE          REDUCED COST
       Y_1         1.000000       3000.000000
       Y_2         0.000000      -6842.689453
       Y_3         1.000000       3000.000000
       Y_4         1.000000     -30215.292969
       Y_5         1.000000     -23449.046875
     X_1_1         0.189655          0.000000
     X_1_2         0.000000          0.000000
     X_1_3         0.000000      13361.701172
     X_1_4         0.810345          0.000000
     X_1_5         0.000000       7368.151855
     X_2_1         0.000000      12931.109375
     X_2_2         0.000000       4569.662109
     X_2_3         1.000000          0.000000
     X_2_4         0.000000      24048.978516
     X_2_5         0.000000      13885.120117
     X_3_1         0.000000       2756.010010
     X_3_2         0.000000       9102.572266
     X_3_3         0.000000      17557.718750
     X_3_4         1.000000          0.000000
     X_3_5         0.000000      18626.617188
     X_4_1         0.000000       8478.143555
     X_4_2         0.000000       1773.074585
     X_4_3         0.000000       6196.224121
     X_4_4         0.000000      13612.277344
     X_4_5         1.000000          0.000000
     X_5_1         0.000000       5712.364746
     X_5_2         0.000000      11369.396484
     X_5_3         0.000000      26216.505859
     X_5_4         1.000000          0.000000
     X_5_5         0.000000      18365.958984
     X_6_1         1.000000          0.000000
     X_6_2         0.000000       8826.467773
     X_6_3         0.000000      16494.060547
     X_6_4         0.000000      12383.319336
     X_6_5         0.000000      24934.943359
     X_7_1         0.000000       3090.411621
     X_7_2         0.000000        644.073669
     X_7_3         0.000000       2862.731934
     X_7_4         0.000000       4843.792480
     X_7_5         1.000000          0.000000
     X_8_1         0.000000      15136.610352
     X_8_2         0.000000       9270.908203
     X_8_3         1.000000          0.000000
     X_8_4         0.000000      22509.712891
     X_8_5         0.000000      12261.647461
     X_9_1         0.000000       9514.554688
     X_9_2         0.000000       5954.157227
     X_9_3         0.000000       8811.583984
     X_9_4         0.000000      10119.484375
     X_9_5         1.000000          0.000000
    X_10_1         0.000000       1769.406738
    X_10_2         0.000000       1420.921021
    X_10_3         0.000000       7626.617676
    X_10_4         0.108108          0.000000
    X_10_5         0.891892          0.000000
    X_11_1         0.000000      31019.859375
    X_11_2         0.000000      19658.228516
    X_11_3         1.000000          0.000000
    X_11_4         0.000000      46292.285156
    X_11_5         0.000000      25478.003906
    X_12_1         1.000000          0.000000
    X_12_2         0.000000      12839.697266
    X_12_3         0.000000      24958.619141
    X_12_4         0.000000       9338.117188
    X_12_5         0.000000      30729.085938
    X_13_1         0.000000       5907.432129
    X_13_2         0.000000      14984.176758
    X_13_3         0.000000      30309.511719
    X_13_4         1.000000          0.000000
    X_13_5         0.000000      27268.291016
    X_14_1         0.000000      15038.451172
    X_14_2         0.000000        762.633057
    X_14_3         0.000000        842.779480
    X_14_4         0.000000      27684.484375
    X_14_5         1.000000          0.000000
    X_15_1         0.000000       1754.554565
    X_15_2         0.000000       3291.920654
    X_15_3         0.000000      10263.175781
    X_15_4         1.000000          0.000000
    X_15_5         0.000000       6804.225098


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)       109.000000          0.000000
        3)         0.000000         47.261208
        4)        93.000000          0.000000
        5)         0.000000        157.342239
        6)         0.000000        147.626572
        7)         0.000000     -28062.650391
        8)         0.000000      -4949.750000
        9)         0.000000      -5455.720703
       10)         0.000000     -14694.286133
       11)         0.000000     -35303.246094
       12)         0.000000      -5881.839844
       13)         0.000000      -6984.768066
       14)         0.000000       -480.000000
       15)         0.000000     -21256.496094
       16)         0.000000     -28491.523438
       17)         0.000000      -2798.860107
       18)         0.000000      -4218.490234
       19)         0.000000     -22756.699219
       20)         0.000000     -18533.720703
       21)         0.000000     -14550.044922

 NO. ITERATIONS=      79
 BRANCHES=    1 DETERM.=  1.000E    0
