Le tratte di trasporto sono 15.

Tratta   Coordinate origine     Coordinate destinazione
              x        y             x           y
    1         23      765           250         540
    2        140      782           715         488
    3        286      412            14         379
    4         14      369           478         195
    5        712       81           326         300
    6        441      627           733         820
    7        392      338           534          64
    8        810      274           444         229
    9        478      196           683          25
   10        280      499           158         124
   11        201      462           290         659
   12        127       12           468         320
   13        621      570           400          26
   14        715      488           108         600
   15        588      363           798         345



