        OBJECTIVE FUNCTION VALUE

        1)      8400.000

  VARIABLE        VALUE          REDUCED COST
        X1         0.000000     -40000.000000
        X2         0.000000     -20000.000000
        X3         0.000000     -46000.000000
        X4         1.000000     -24000.000000
        X5         1.000000     -20000.000000
        X6         0.000000     -44000.000000
        X7         1.000000     -42000.000000
        X8         1.000000     -47600.000000
        X9         0.000000     -28360.000000
       X10         1.000000     -27960.000000
         Z      8400.000000          0.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)      4000.000000          0.000000
        3)     12800.000000          0.000000
        4)     16800.000000          0.000000
        5)         0.000000         -1.000000
        6)     13350.000000          0.000000
        7)      3450.000000          0.000000
        8)      9350.000000          0.000000
        9)      7450.000000          0.000000
       10)      8290.000000          0.000000
       11)      8510.000000          0.000000

 NO. ITERATIONS=     776
 BRANCHES=   71 DETERM.=  1.000E    0
