
        OBJECTIVE FUNCTION VALUE

        1)      6.000000

  VARIABLE        VALUE          REDUCED COST
      X1_1         2.000000          0.000000
      X1_2        14.000000          0.000000
      X1_3         0.000000          0.000000
      X1_4         0.000000          0.000000
      X1_5         1.000000          0.000000
      X1_6        51.000000          0.000000
      X1_7         0.000000          0.000000
      X1_8         0.000000          0.000000
      X2_1         0.000000          0.000000
      X2_2         6.000000          0.000000
      X2_3         0.000000          0.000000
      X2_4        84.000000          0.000000
      X2_5         0.000000          0.000000
      X2_6         0.000000          0.000000
      X2_7         0.000000          0.000000
      X2_8         0.000000          0.000000
      X3_1         0.000000          0.000000
      X3_2         0.000000          0.000000
      X3_3         0.000000          0.000000
      X3_4         0.000000          0.000000
      X3_5        10.000000          0.000000
      X3_6         0.000000          0.000000
      X3_7         0.000000          0.000000
      X3_8         0.000000          0.000000
      X4_1         1.000000          0.000000
      X4_2        41.000000          0.000000
      X4_3         2.000000          0.000000
      X4_4         2.000000          0.000000
      X4_5         1.000000          0.000000
      X4_6         1.000000          0.000000
      X4_7         0.000000          0.000000
      X4_8         0.000000          0.000000
      X5_1         0.000000          0.000000
      X5_2         0.000000          0.000000
      X5_3         0.000000          0.000000
      X5_4        25.000000          0.000000
      X5_5         0.000000          0.000000
      X5_6         3.000000          0.000000
      X5_7         0.000000          0.000000
      X5_8         0.000000          0.000000
      X6_1        31.000000          0.000000
      X6_2         7.000000          0.000000
      X6_3        30.000000          0.000000
      X6_4         0.000000          0.000000
      X6_5         0.000000          0.000000
      X6_6         2.000000          0.000000
      X6_7         0.000000          0.000000
      X6_8         0.000000          0.000000
      X7_1         0.000000          0.000000
      X7_2        55.000000          0.000000
      X7_3         1.000000          0.000000
      X7_4         0.000000          0.000000
      X7_5         0.000000          0.000000
      X7_6         0.000000          0.000000
      X7_7         0.000000          0.000000
      X7_8         0.000000          0.000000
      X8_1         1.000000          0.000000
      X8_2         3.000000          0.000000
      X8_3         0.000000          0.000000
      X8_4         0.000000          0.000000
      X8_5         2.000000          0.000000
      X8_6         4.000000          0.000000
      X8_7         0.000000          0.000000
      X8_8         0.000000          0.000000
      X9_1         0.000000          0.000000
      X9_2         0.000000          0.000000
      X9_3         0.000000          0.000000
      X9_4         0.000000          0.000000
      X9_5        45.000000          0.000000
      X9_6         0.000000          0.000000
      X9_7         0.000000          0.000000
      X9_8         0.000000          0.000000
     X10_1         0.000000          0.000000
     X10_2         0.000000          0.000000
     X10_3         0.000000          0.000000
     X10_4         0.000000          0.000000
     X10_5         0.000000          0.000000
     X10_6        12.000000          0.000000
     X10_7         0.000000          0.000000
     X10_8         0.000000          0.000000
        Y1         1.000000          1.000000
        Y2         1.000000          1.000000
        Y3         1.000000          1.000000
        Y4         1.000000          1.000000
        Y5         1.000000          1.000000
        Y6         1.000000          1.000000
        Y7         0.000000          1.000000
        Y8         0.000000          1.000000


       ROW   SLACK OR SURPLUS     DUAL PRICES
        2)         0.000000          0.000000
        3)         0.000000          0.000000
        4)       402.000000          0.000000
        5)       195.000000          0.000000
        6)         0.000000          0.000000
        7)        11.000000          0.000000

 NO. ITERATIONS=     730
 BRANCHES=  107 DETERM.=  1.000E    0
