Problem:    ambulanze
Rows:       29
Columns:    96 (96 integer, 0 binary)
Non-zeros:  1392
Status:     INTEGER OPTIMAL
Objective:  Costo_totale = 7150 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Costo_totale             7150                             
     2 Copertura[0]                8             8               
     3 Copertura[1]                8             8               
     4 Copertura[2]                8             8               
     5 Copertura[3]                8             7               
     6 Copertura[4]                8             6               
     7 Copertura[5]                8             6               
     8 Copertura[6]                8             8               
     9 Copertura[7]                9             9               
    10 Copertura[8]               16            14               
    11 Copertura[9]               16            16               
    12 Copertura[10]
                                  16            10               
    13 Copertura[11]
                                  16             9               
    14 Copertura[12]
                                  16             9               
    15 Copertura[13]
                                  16             8               
    16 Copertura[14]
                                  14             7               
    17 Copertura[15]
                                  14            10               
    18 Copertura[16]
                                  17            12               
    19 Copertura[17]
                                  17            17               
    20 Copertura[18]
                                  16            16               
    21 Copertura[19]
                                  15            14               
    22 Copertura[20]
                                  10            10               
    23 Copertura[21]
                                  10             8               
    24 Copertura[22]
                                   7             7               
    25 Copertura[23]
                                   7             7               
    26 LimiteK[1]                  7                           7 
    27 LimiteK[2]                  7                           7 
    28 LimiteK[3]                  0                           7 
    29 LimiteK[4]                  6                           7 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1,0]       *              7             0               
     2 x[1,1]       *              0             0               
     3 x[1,2]       *              0             0               
     4 x[1,3]       *              0             0               
     5 x[1,4]       *              0             0               
     6 x[1,5]       *              0             0               
     7 x[1,6]       *              0             0               
     8 x[1,7]       *              0             0               
     9 x[1,8]       *              0             0               
    10 x[1,9]       *              0             0               
    11 x[1,10]      *              0             0               
    12 x[1,11]      *              0             0               
    13 x[1,12]      *              0             0               
    14 x[1,13]      *              0             0               
    15 x[1,14]      *              0             0               
    16 x[1,15]      *              0             0               
    17 x[1,16]      *              0             0               
    18 x[1,17]      *              0             0               
    19 x[1,18]      *              0             0               
    20 x[1,19]      *              0             0               
    21 x[1,20]      *              0             0               
    22 x[1,21]      *              0             0               
    23 x[1,22]      *              0             0               
    24 x[1,23]      *              0             0               
    25 x[2,0]       *              0             0               
    26 x[2,1]       *              0             0               
    27 x[2,2]       *              0             0               
    28 x[2,3]       *              0             0               
    29 x[2,4]       *              0             0               
    30 x[2,5]       *              0             0               
    31 x[2,6]       *              1             0               
    32 x[2,7]       *              1             0               
    33 x[2,8]       *              5             0               
    34 x[2,9]       *              0             0               
    35 x[2,10]      *              0             0               
    36 x[2,11]      *              0             0               
    37 x[2,12]      *              0             0               
    38 x[2,13]      *              0             0               
    39 x[2,14]      *              0             0               
    40 x[2,15]      *              0             0               
    41 x[2,16]      *              0             0               
    42 x[2,17]      *              0             0               
    43 x[2,18]      *              0             0               
    44 x[2,19]      *              0             0               
    45 x[2,20]      *              0             0               
    46 x[2,21]      *              0             0               
    47 x[2,22]      *              0             0               
    48 x[2,23]      *              0             0               
    49 x[3,0]       *              0             0               
    50 x[3,1]       *              0             0               
    51 x[3,2]       *              0             0               
    52 x[3,3]       *              0             0               
    53 x[3,4]       *              0             0               
    54 x[3,5]       *              0             0               
    55 x[3,6]       *              0             0               
    56 x[3,7]       *              0             0               
    57 x[3,8]       *              0             0               
    58 x[3,9]       *              0             0               
    59 x[3,10]      *              0             0               
    60 x[3,11]      *              0             0               
    61 x[3,12]      *              0             0               
    62 x[3,13]      *              0             0               
    63 x[3,14]      *              0             0               
    64 x[3,15]      *              0             0               
    65 x[3,16]      *              0             0               
    66 x[3,17]      *              0             0               
    67 x[3,18]      *              0             0               
    68 x[3,19]      *              0             0               
    69 x[3,20]      *              0             0               
    70 x[3,21]      *              0             0               
    71 x[3,22]      *              0             0               
    72 x[3,23]      *              0             0               
    73 x[4,0]       *              1             0               
    74 x[4,1]       *              0             0               
    75 x[4,2]       *              0             0               
    76 x[4,3]       *              0             0               
    77 x[4,4]       *              0             0               
    78 x[4,5]       *              0             0               
    79 x[4,6]       *              0             0               
    80 x[4,7]       *              0             0               
    81 x[4,8]       *              2             0               
    82 x[4,9]       *              0             0               
    83 x[4,10]      *              0             0               
    84 x[4,11]      *              0             0               
    85 x[4,12]      *              0             0               
    86 x[4,13]      *              0             0               
    87 x[4,14]      *              0             0               
    88 x[4,15]      *              0             0               
    89 x[4,16]      *              3             0               
    90 x[4,17]      *              0             0               
    91 x[4,18]      *              0             0               
    92 x[4,19]      *              0             0               
    93 x[4,20]      *              0             0               
    94 x[4,21]      *              0             0               
    95 x[4,22]      *              0             0               
    96 x[4,23]      *              0             0               

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

End of output
