Problem:    LinearOrdering2
Rows:       253
Columns:    42 (42 integer, 42 binary)
Non-zeros:  756
Status:     INTEGER OPTIMAL
Objective:  pesoMinimo = 662 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 noCiclo[1,2,3]
                                   2                           2 
     2 noCiclo[1,2,4]
                                   1                           2 
     3 noCiclo[1,2,5]
                                   1                           2 
     4 noCiclo[1,2,6]
                                   1                           2 
     5 noCiclo[1,2,7]
                                   1                           2 
     6 noCiclo[1,3,2]
                                   1                           2 
     7 noCiclo[1,3,4]
                                   1                           2 
     8 noCiclo[1,3,5]
                                   1                           2 
     9 noCiclo[1,3,6]
                                   1                           2 
    10 noCiclo[1,3,7]
                                   1                           2 
    11 noCiclo[1,4,2]
                                   2                           2 
    12 noCiclo[1,4,3]
                                   2                           2 
    13 noCiclo[1,4,5]
                                   2                           2 
    14 noCiclo[1,4,6]
                                   2                           2 
    15 noCiclo[1,4,7]
                                   1                           2 
    16 noCiclo[1,5,2]
                                   2                           2 
    17 noCiclo[1,5,3]
                                   2                           2 
    18 noCiclo[1,5,4]
                                   1                           2 
    19 noCiclo[1,5,6]
                                   2                           2 
    20 noCiclo[1,5,7]
                                   1                           2 
    21 noCiclo[1,6,2]
                                   2                           2 
    22 noCiclo[1,6,3]
                                   2                           2 
    23 noCiclo[1,6,4]
                                   1                           2 
    24 noCiclo[1,6,5]
                                   1                           2 
    25 noCiclo[1,6,7]
                                   1                           2 
    26 noCiclo[1,7,2]
                                   2                           2 
    27 noCiclo[1,7,3]
                                   2                           2 
    28 noCiclo[1,7,4]
                                   2                           2 
    29 noCiclo[1,7,5]
                                   2                           2 
    30 noCiclo[1,7,6]
                                   2                           2 
    31 noCiclo[2,1,3]
                                   1                           2 
    32 noCiclo[2,1,4]
                                   2                           2 
    33 noCiclo[2,1,5]
                                   2                           2 
    34 noCiclo[2,1,6]
                                   2                           2 
    35 noCiclo[2,1,7]
                                   2                           2 
    36 noCiclo[2,3,1]
                                   2                           2 
    37 noCiclo[2,3,4]
                                   2                           2 
    38 noCiclo[2,3,5]
                                   2                           2 
    39 noCiclo[2,3,6]
                                   2                           2 
    40 noCiclo[2,3,7]
                                   2                           2 
    41 noCiclo[2,4,1]
                                   1                           2 
    42 noCiclo[2,4,3]
                                   1                           2 
    43 noCiclo[2,4,5]
                                   2                           2 
    44 noCiclo[2,4,6]
                                   2                           2 
    45 noCiclo[2,4,7]
                                   1                           2 
    46 noCiclo[2,5,1]
                                   1                           2 
    47 noCiclo[2,5,3]
                                   1                           2 
    48 noCiclo[2,5,4]
                                   1                           2 
    49 noCiclo[2,5,6]
                                   2                           2 
    50 noCiclo[2,5,7]
                                   1                           2 
    51 noCiclo[2,6,1]
                                   1                           2 
    52 noCiclo[2,6,3]
                                   1                           2 
    53 noCiclo[2,6,4]
                                   1                           2 
    54 noCiclo[2,6,5]
                                   1                           2 
    55 noCiclo[2,6,7]
                                   1                           2 
    56 noCiclo[2,7,1]
                                   1                           2 
    57 noCiclo[2,7,3]
                                   1                           2 
    58 noCiclo[2,7,4]
                                   2                           2 
    59 noCiclo[2,7,5]
                                   2                           2 
    60 noCiclo[2,7,6]
                                   2                           2 
    61 noCiclo[3,1,2]
                                   2                           2 
    62 noCiclo[3,1,4]
                                   2                           2 
    63 noCiclo[3,1,5]
                                   2                           2 
    64 noCiclo[3,1,6]
                                   2                           2 
    65 noCiclo[3,1,7]
                                   2                           2 
    66 noCiclo[3,2,1]
                                   1                           2 
    67 noCiclo[3,2,4]
                                   1                           2 
    68 noCiclo[3,2,5]
                                   1                           2 
    69 noCiclo[3,2,6]
                                   1                           2 
    70 noCiclo[3,2,7]
                                   1                           2 
    71 noCiclo[3,4,1]
                                   1                           2 
    72 noCiclo[3,4,2]
                                   2                           2 
    73 noCiclo[3,4,5]
                                   2                           2 
    74 noCiclo[3,4,6]
                                   2                           2 
    75 noCiclo[3,4,7]
                                   1                           2 
    76 noCiclo[3,5,1]
                                   1                           2 
    77 noCiclo[3,5,2]
                                   2                           2 
    78 noCiclo[3,5,4]
                                   1                           2 
    79 noCiclo[3,5,6]
                                   2                           2 
