Problem:    Magazzini
Rows:       101
Columns:    71 (70 integer, 70 binary)
Non-zeros:  406
Status:     INTEGER OPTIMAL
Objective:  z = 630 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 assegnamento[Tolosa]
                                   1             1               
     2 assegnamento[Nizza]
                                   1             1               
     3 assegnamento[Marsiglia]
                                   1             1               
     4 assegnamento[Lione]
                                   1             1               
     5 assegnamento[Limoges]
                                   1             1               
     6 assegnamento[Digione]
                                   1             1               
     7 assegnamento[Orleans]
                                   1             1               
     8 assegnamento[Parigi]
                                   1             1               
     9 assegnamento[Lille]
                                   1             1               
    10 assegnamento[Nantes]
                                   1             1               
    11 numeroMagazzini[Tolosa]
                                   1                           2 
    12 numeroMagazzini[Nizza]
                                   1                           2 
    13 numeroMagazzini[Marsiglia]
                                   1                           2 
    14 numeroMagazzini[Lione]
                                   1                           2 
    15 numeroMagazzini[Limoges]
                                   1                           2 
    16 numeroMagazzini[Digione]
                                   1                           2 
    17 numeroMagazzini[Orleans]
                                   1                           2 
    18 numeroMagazzini[Parigi]
                                   1                           2 
    19 numeroMagazzini[Lille]
                                   1                           2 
    20 numeroMagazzini[Nantes]
                                   1                           2 
    21 def_maxDistanza[Tolosa,Tolosa]
                                 293            -0               
    22 def_maxDistanza[Tolosa,Nizza]
                                 293            -0               
    23 def_maxDistanza[Tolosa,Marsiglia]
                                 293            -0               
    24 def_maxDistanza[Tolosa,Lione]
                                 293            -0               
    25 def_maxDistanza[Tolosa,Limoges]
                                 293            -0               
    26 def_maxDistanza[Tolosa,Digione]
                                 293            -0               
    27 def_maxDistanza[Tolosa,Orleans]
                                 293            -0               
    28 def_maxDistanza[Tolosa,Parigi]
                                 293            -0               
    29 def_maxDistanza[Tolosa,Lille]
                                 293            -0               
    30 def_maxDistanza[Tolosa,Nantes]
                                 293            -0               
    31 def_maxDistanza[Nizza,Tolosa]
                                 293            -0               
    32 def_maxDistanza[Nizza,Nizza]
                                 293            -0               
    33 def_maxDistanza[Nizza,Marsiglia]
                                 293            -0               
    34 def_maxDistanza[Nizza,Lione]
                                 293            -0               
    35 def_maxDistanza[Nizza,Limoges]
                                 293            -0               
    36 def_maxDistanza[Nizza,Digione]
                                 293            -0               
    37 def_maxDistanza[Nizza,Orleans]
                                 293            -0               
    38 def_maxDistanza[Nizza,Parigi]
                                 293            -0               
    39 def_maxDistanza[Nizza,Lille]
