Problem:    NonCrossing
Rows:       238
Columns:    36 (36 integer, 36 binary)
Non-zeros:  558
Status:     INTEGER OPTIMAL
Objective:  TotalUtility = 177 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 TotalUtility              177                             
     2 OneActuatorPerSensor[1]
                                   0                           1 
     3 OneActuatorPerSensor[2]
                                   0                           1 
     4 OneActuatorPerSensor[3]
                                   0                           1 
     5 OneActuatorPerSensor[4]
                                   1                           1 
     6 OneActuatorPerSensor[5]
                                   1                           1 
     7 OneActuatorPerSensor[6]
                                   1                           1 
     8 OneSensorPerActuator[1]
                                   1                           1 
     9 OneSensorPerActuator[2]
                                   1                           1 
    10 OneSensorPerActuator[3]
                                   1                           1 
    11 OneSensorPerActuator[4]
                                   0                           1 
    12 OneSensorPerActuator[5]
                                   0                           1 
    13 OneSensorPerActuator[6]
                                   0                           1 
    14 NonCrossing[1,2,2,1]
                                   0                           1 
    15 NonCrossing[1,2,3,1]
                                   0                           1 
    16 NonCrossing[1,2,4,1]
                                   1                           1 
    17 NonCrossing[1,2,5,1]
                                   0                           1 
    18 NonCrossing[1,2,6,1]
                                   0                           1 
    19 NonCrossing[1,3,2,1]
                                   0                           1 
    20 NonCrossing[1,3,2,2]
                                   0                           1 
    21 NonCrossing[1,3,3,1]
                                   0                           1 
    22 NonCrossing[1,3,3,2]
                                   0                           1 
    23 NonCrossing[1,3,4,1]
                                   1                           1 
    24 NonCrossing[1,3,4,2]
                                   0                           1 
    25 NonCrossing[1,3,5,1]
                                   0                           1 
    26 NonCrossing[1,3,5,2]
                                   1                           1 
    27 NonCrossing[1,3,6,1]
                                   0                           1 
    28 NonCrossing[1,3,6,2]
                                   0                           1 
    29 NonCrossing[1,4,2,1]
                                   0                           1 
    30 NonCrossing[1,4,2,2]
                                   0                           1 
    31 NonCrossing[1,4,2,3]
                                   0                           1 
    32 NonCrossing[1,4,3,1]
                                   0                           1 
    33 NonCrossing[1,4,3,2]
                                   0                           1 
    34 NonCrossing[1,4,3,3]
                                   0                           1 
